line,loc,length,bug type,approach
15,14,2,Unchecked-Send,code snippet injection
12,11,2,Unchecked-Send,code snippet injection
9,8,2,Unchecked-Send,code snippet injection
177,176,2,Unchecked-Send,code snippet injection
170,169,2,Unchecked-Send,code snippet injection
161,160,2,Unchecked-Send,code snippet injection
153,152,2,Unchecked-Send,code snippet injection
141,140,2,Unchecked-Send,code snippet injection
135,134,2,Unchecked-Send,code snippet injection
126,125,2,Unchecked-Send,code snippet injection
116,115,2,Unchecked-Send,code snippet injection
90,89,2,Unchecked-Send,code snippet injection
67,66,2,Unchecked-Send,code snippet injection
43,42,2,Unchecked-Send,code snippet injection
38,37,2,Unchecked-Send,code snippet injection
35,34,2,Unchecked-Send,code snippet injection
31,30,2,Unchecked-Send,code snippet injection
28,27,2,Unchecked-Send,code snippet injection
25,24,2,Unchecked-Send,code snippet injection
22,21,2,Unchecked-Send,code snippet injection
19,18,2,Unchecked-Send,code snippet injection
