line,loc,length,bug type,approach
51,50,2,Unchecked-Send,code snippet injection
46,45,2,Unchecked-Send,code snippet injection
41,40,2,Unchecked-Send,code snippet injection
201,200,2,Unchecked-Send,code snippet injection
181,180,2,Unchecked-Send,code snippet injection
164,163,2,Unchecked-Send,code snippet injection
143,142,2,Unchecked-Send,code snippet injection
126,125,2,Unchecked-Send,code snippet injection
108,107,2,Unchecked-Send,code snippet injection
93,92,2,Unchecked-Send,code snippet injection
70,69,2,Unchecked-Send,code snippet injection
36,35,2,Unchecked-Send,code snippet injection
33,32,2,Unchecked-Send,code snippet injection
28,27,2,Unchecked-Send,code snippet injection
24,23,2,Unchecked-Send,code snippet injection
21,20,2,Unchecked-Send,code snippet injection
18,17,2,Unchecked-Send,code snippet injection
