line,loc,length,bug type,approach
107,106,2,Unchecked-Send,code snippet injection
103,102,2,Unchecked-Send,code snippet injection
99,98,2,Unchecked-Send,code snippet injection
268,267,2,Unchecked-Send,code snippet injection
262,261,2,Unchecked-Send,code snippet injection
252,251,2,Unchecked-Send,code snippet injection
242,241,2,Unchecked-Send,code snippet injection
230,229,2,Unchecked-Send,code snippet injection
220,219,2,Unchecked-Send,code snippet injection
162,161,2,Unchecked-Send,code snippet injection
151,150,2,Unchecked-Send,code snippet injection
142,141,2,Unchecked-Send,code snippet injection
133,132,2,Unchecked-Send,code snippet injection
126,125,2,Unchecked-Send,code snippet injection
117,116,2,Unchecked-Send,code snippet injection
68,67,2,Unchecked-Send,code snippet injection
57,56,2,Unchecked-Send,code snippet injection
198,197,2,Unchecked-Send,code snippet injection
187,186,2,Unchecked-Send,code snippet injection
184,183,2,Unchecked-Send,code snippet injection
180,179,2,Unchecked-Send,code snippet injection
177,176,2,Unchecked-Send,code snippet injection
174,173,2,Unchecked-Send,code snippet injection
95,94,2,Unchecked-Send,code snippet injection
92,91,2,Unchecked-Send,code snippet injection
88,87,2,Unchecked-Send,code snippet injection
85,84,2,Unchecked-Send,code snippet injection
82,81,2,Unchecked-Send,code snippet injection
79,78,2,Unchecked-Send,code snippet injection
50,49,2,Unchecked-Send,code snippet injection
