line,loc,length,bug type,approach
256,255,2,Unchecked-Send,code snippet injection
248,247,2,Unchecked-Send,code snippet injection
238,237,2,Unchecked-Send,code snippet injection
232,231,2,Unchecked-Send,code snippet injection
224,223,2,Unchecked-Send,code snippet injection
215,214,2,Unchecked-Send,code snippet injection
206,205,2,Unchecked-Send,code snippet injection
183,182,2,Unchecked-Send,code snippet injection
174,173,2,Unchecked-Send,code snippet injection
166,165,2,Unchecked-Send,code snippet injection
147,146,2,Unchecked-Send,code snippet injection
139,138,2,Unchecked-Send,code snippet injection
133,132,2,Unchecked-Send,code snippet injection
127,126,2,Unchecked-Send,code snippet injection
121,120,2,Unchecked-Send,code snippet injection
88,87,2,Unchecked-Send,code snippet injection
82,81,2,Unchecked-Send,code snippet injection
76,75,2,Unchecked-Send,code snippet injection
70,69,2,Unchecked-Send,code snippet injection
114,113,2,Unchecked-Send,code snippet injection
111,110,2,Unchecked-Send,code snippet injection
108,107,2,Unchecked-Send,code snippet injection
105,104,2,Unchecked-Send,code snippet injection
102,101,2,Unchecked-Send,code snippet injection
98,97,2,Unchecked-Send,code snippet injection
95,94,2,Unchecked-Send,code snippet injection
61,60,2,Unchecked-Send,code snippet injection
58,57,2,Unchecked-Send,code snippet injection
55,54,2,Unchecked-Send,code snippet injection
