line,loc,length,bug type,approach
516,515,2,Unchecked-Send,code snippet injection
508,507,2,Unchecked-Send,code snippet injection
490,489,2,Unchecked-Send,code snippet injection
480,479,2,Unchecked-Send,code snippet injection
471,470,2,Unchecked-Send,code snippet injection
443,442,2,Unchecked-Send,code snippet injection
430,429,2,Unchecked-Send,code snippet injection
407,406,2,Unchecked-Send,code snippet injection
386,385,2,Unchecked-Send,code snippet injection
367,366,2,Unchecked-Send,code snippet injection
342,341,2,Unchecked-Send,code snippet injection
321,320,2,Unchecked-Send,code snippet injection
302,301,2,Unchecked-Send,code snippet injection
282,281,2,Unchecked-Send,code snippet injection
268,267,2,Unchecked-Send,code snippet injection
259,258,2,Unchecked-Send,code snippet injection
244,243,2,Unchecked-Send,code snippet injection
235,234,2,Unchecked-Send,code snippet injection
457,456,2,Unchecked-Send,code snippet injection
454,453,2,Unchecked-Send,code snippet injection
451,450,2,Unchecked-Send,code snippet injection
225,224,2,Unchecked-Send,code snippet injection
221,220,2,Unchecked-Send,code snippet injection
217,216,2,Unchecked-Send,code snippet injection
