line,loc,length,bug type,approach
220,219,2,Unchecked-Send,code snippet injection
217,216,2,Unchecked-Send,code snippet injection
214,213,2,Unchecked-Send,code snippet injection
211,210,2,Unchecked-Send,code snippet injection
208,207,2,Unchecked-Send,code snippet injection
205,204,2,Unchecked-Send,code snippet injection
141,140,2,Unchecked-Send,code snippet injection
406,405,2,Unchecked-Send,code snippet injection
385,384,2,Unchecked-Send,code snippet injection
374,373,2,Unchecked-Send,code snippet injection
347,346,2,Unchecked-Send,code snippet injection
339,338,2,Unchecked-Send,code snippet injection
333,332,2,Unchecked-Send,code snippet injection
322,321,2,Unchecked-Send,code snippet injection
312,311,2,Unchecked-Send,code snippet injection
302,301,2,Unchecked-Send,code snippet injection
295,294,2,Unchecked-Send,code snippet injection
281,280,2,Unchecked-Send,code snippet injection
274,273,2,Unchecked-Send,code snippet injection
267,266,2,Unchecked-Send,code snippet injection
254,253,2,Unchecked-Send,code snippet injection
243,242,2,Unchecked-Send,code snippet injection
229,228,2,Unchecked-Send,code snippet injection
170,169,2,Unchecked-Send,code snippet injection
160,159,2,Unchecked-Send,code snippet injection
148,147,2,Unchecked-Send,code snippet injection
201,200,2,Unchecked-Send,code snippet injection
198,197,2,Unchecked-Send,code snippet injection
195,194,2,Unchecked-Send,code snippet injection
191,190,2,Unchecked-Send,code snippet injection
188,187,2,Unchecked-Send,code snippet injection
185,184,2,Unchecked-Send,code snippet injection
