line,loc,length,bug type,approach
810,809,2,Unchecked-Send,code snippet injection
797,796,2,Unchecked-Send,code snippet injection
758,757,2,Unchecked-Send,code snippet injection
749,748,2,Unchecked-Send,code snippet injection
696,695,2,Unchecked-Send,code snippet injection
673,672,2,Unchecked-Send,code snippet injection
650,649,2,Unchecked-Send,code snippet injection
627,626,2,Unchecked-Send,code snippet injection
620,619,2,Unchecked-Send,code snippet injection
600,599,2,Unchecked-Send,code snippet injection
588,587,2,Unchecked-Send,code snippet injection
577,576,2,Unchecked-Send,code snippet injection
566,565,2,Unchecked-Send,code snippet injection
541,540,2,Unchecked-Send,code snippet injection
518,517,2,Unchecked-Send,code snippet injection
457,456,2,Unchecked-Send,code snippet injection
446,445,2,Unchecked-Send,code snippet injection
435,434,2,Unchecked-Send,code snippet injection
424,423,2,Unchecked-Send,code snippet injection
408,407,2,Unchecked-Send,code snippet injection
374,373,2,Unchecked-Send,code snippet injection
344,343,2,Unchecked-Send,code snippet injection
329,328,2,Unchecked-Send,code snippet injection
323,322,2,Unchecked-Send,code snippet injection
311,310,2,Unchecked-Send,code snippet injection
285,284,2,Unchecked-Send,code snippet injection
273,272,2,Unchecked-Send,code snippet injection
252,251,2,Unchecked-Send,code snippet injection
249,248,2,Unchecked-Send,code snippet injection
246,245,2,Unchecked-Send,code snippet injection
243,242,2,Unchecked-Send,code snippet injection
240,239,2,Unchecked-Send,code snippet injection
