line,loc,length,bug type,approach
32,31,2,Unchecked-Send,code snippet injection
29,28,2,Unchecked-Send,code snippet injection
25,24,2,Unchecked-Send,code snippet injection
22,21,2,Unchecked-Send,code snippet injection
19,18,2,Unchecked-Send,code snippet injection
16,15,2,Unchecked-Send,code snippet injection
13,12,2,Unchecked-Send,code snippet injection
10,9,2,Unchecked-Send,code snippet injection
214,213,2,Unchecked-Send,code snippet injection
208,207,2,Unchecked-Send,code snippet injection
199,198,2,Unchecked-Send,code snippet injection
193,192,2,Unchecked-Send,code snippet injection
166,165,2,Unchecked-Send,code snippet injection
155,154,2,Unchecked-Send,code snippet injection
144,143,2,Unchecked-Send,code snippet injection
136,135,2,Unchecked-Send,code snippet injection
127,126,2,Unchecked-Send,code snippet injection
119,118,2,Unchecked-Send,code snippet injection
82,81,2,Unchecked-Send,code snippet injection
79,78,2,Unchecked-Send,code snippet injection
75,74,2,Unchecked-Send,code snippet injection
72,71,2,Unchecked-Send,code snippet injection
69,68,2,Unchecked-Send,code snippet injection
65,64,2,Unchecked-Send,code snippet injection
61,60,2,Unchecked-Send,code snippet injection
57,56,2,Unchecked-Send,code snippet injection
54,53,2,Unchecked-Send,code snippet injection
51,50,2,Unchecked-Send,code snippet injection
