line,loc,length,bug type,approach
425,424,2,Unchecked-Send,code snippet injection
410,409,2,Unchecked-Send,code snippet injection
401,400,2,Unchecked-Send,code snippet injection
392,391,2,Unchecked-Send,code snippet injection
383,382,2,Unchecked-Send,code snippet injection
352,351,2,Unchecked-Send,code snippet injection
341,340,2,Unchecked-Send,code snippet injection
320,319,2,Unchecked-Send,code snippet injection
305,304,2,Unchecked-Send,code snippet injection
289,288,2,Unchecked-Send,code snippet injection
273,272,2,Unchecked-Send,code snippet injection
256,255,2,Unchecked-Send,code snippet injection
240,239,2,Unchecked-Send,code snippet injection
223,222,2,Unchecked-Send,code snippet injection
206,205,2,Unchecked-Send,code snippet injection
190,189,2,Unchecked-Send,code snippet injection
174,173,2,Unchecked-Send,code snippet injection
162,161,2,Unchecked-Send,code snippet injection
150,149,2,Unchecked-Send,code snippet injection
139,138,2,Unchecked-Send,code snippet injection
374,373,2,Unchecked-Send,code snippet injection
371,370,2,Unchecked-Send,code snippet injection
368,367,2,Unchecked-Send,code snippet injection
129,128,2,Unchecked-Send,code snippet injection
125,124,2,Unchecked-Send,code snippet injection
121,120,2,Unchecked-Send,code snippet injection
