line,loc,length,bug type,approach
139,138,2,Unchecked-Send,code snippet injection
119,118,2,Unchecked-Send,code snippet injection
114,113,2,Unchecked-Send,code snippet injection
348,347,2,Unchecked-Send,code snippet injection
339,338,2,Unchecked-Send,code snippet injection
333,332,2,Unchecked-Send,code snippet injection
318,317,2,Unchecked-Send,code snippet injection
311,310,2,Unchecked-Send,code snippet injection
306,305,2,Unchecked-Send,code snippet injection
300,299,2,Unchecked-Send,code snippet injection
294,293,2,Unchecked-Send,code snippet injection
287,286,2,Unchecked-Send,code snippet injection
281,280,2,Unchecked-Send,code snippet injection
275,274,2,Unchecked-Send,code snippet injection
268,267,2,Unchecked-Send,code snippet injection
260,259,2,Unchecked-Send,code snippet injection
229,228,2,Unchecked-Send,code snippet injection
213,212,2,Unchecked-Send,code snippet injection
207,206,2,Unchecked-Send,code snippet injection
178,177,2,Unchecked-Send,code snippet injection
139,138,2,Unchecked-Send,code snippet injection
136,135,2,Unchecked-Send,code snippet injection
133,132,2,Unchecked-Send,code snippet injection
127,126,2,Unchecked-Send,code snippet injection
114,113,2,Unchecked-Send,code snippet injection
111,110,2,Unchecked-Send,code snippet injection
108,107,2,Unchecked-Send,code snippet injection
105,104,2,Unchecked-Send,code snippet injection
102,101,2,Unchecked-Send,code snippet injection
99,98,2,Unchecked-Send,code snippet injection
251,250,2,Unchecked-Send,code snippet injection
247,246,2,Unchecked-Send,code snippet injection
