line,loc,length,bug type,approach
179,178,2,Unchecked-Send,code snippet injection
176,175,2,Unchecked-Send,code snippet injection
173,172,2,Unchecked-Send,code snippet injection
71,70,2,Unchecked-Send,code snippet injection
37,36,2,Unchecked-Send,code snippet injection
372,371,2,Unchecked-Send,code snippet injection
360,359,2,Unchecked-Send,code snippet injection
351,350,2,Unchecked-Send,code snippet injection
341,340,2,Unchecked-Send,code snippet injection
335,334,2,Unchecked-Send,code snippet injection
283,282,2,Unchecked-Send,code snippet injection
273,272,2,Unchecked-Send,code snippet injection
256,255,2,Unchecked-Send,code snippet injection
236,235,2,Unchecked-Send,code snippet injection
226,225,2,Unchecked-Send,code snippet injection
215,214,2,Unchecked-Send,code snippet injection
209,208,2,Unchecked-Send,code snippet injection
204,203,2,Unchecked-Send,code snippet injection
200,199,2,Unchecked-Send,code snippet injection
130,129,2,Unchecked-Send,code snippet injection
119,118,2,Unchecked-Send,code snippet injection
85,84,2,Unchecked-Send,code snippet injection
56,55,2,Unchecked-Send,code snippet injection
44,43,2,Unchecked-Send,code snippet injection
320,319,2,Unchecked-Send,code snippet injection
164,163,2,Unchecked-Send,code snippet injection
161,160,2,Unchecked-Send,code snippet injection
158,157,2,Unchecked-Send,code snippet injection
155,154,2,Unchecked-Send,code snippet injection
67,66,2,Unchecked-Send,code snippet injection
33,32,2,Unchecked-Send,code snippet injection
