line,loc,length,bug type,approach
279,278,2,Unchecked-Send,code snippet injection
271,270,2,Unchecked-Send,code snippet injection
12,11,2,Unchecked-Send,code snippet injection
512,511,2,Unchecked-Send,code snippet injection
499,498,2,Unchecked-Send,code snippet injection
476,475,2,Unchecked-Send,code snippet injection
437,436,2,Unchecked-Send,code snippet injection
416,415,2,Unchecked-Send,code snippet injection
397,396,2,Unchecked-Send,code snippet injection
377,376,2,Unchecked-Send,code snippet injection
363,362,2,Unchecked-Send,code snippet injection
353,352,2,Unchecked-Send,code snippet injection
344,343,2,Unchecked-Send,code snippet injection
329,328,2,Unchecked-Send,code snippet injection
322,321,2,Unchecked-Send,code snippet injection
313,312,2,Unchecked-Send,code snippet injection
302,301,2,Unchecked-Send,code snippet injection
257,256,2,Unchecked-Send,code snippet injection
239,238,2,Unchecked-Send,code snippet injection
229,228,2,Unchecked-Send,code snippet injection
219,218,2,Unchecked-Send,code snippet injection
187,186,2,Unchecked-Send,code snippet injection
175,174,2,Unchecked-Send,code snippet injection
30,29,2,Unchecked-Send,code snippet injection
19,18,2,Unchecked-Send,code snippet injection
157,156,2,Unchecked-Send,code snippet injection
154,153,2,Unchecked-Send,code snippet injection
151,150,2,Unchecked-Send,code snippet injection
147,146,2,Unchecked-Send,code snippet injection
144,143,2,Unchecked-Send,code snippet injection
141,140,2,Unchecked-Send,code snippet injection
136,135,2,Unchecked-Send,code snippet injection
