block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,17,17
2,function,bug_re_ent20,18,24,
3,imaginary,block_3_imag,25,26,26
4,function,claimReward_re_ent32,27,33,
5,imaginary,block_5_imag,34,35,35
6,function,withdrawFunds_re_ent38,36,41,
7,imaginary,block_7_imag,42,44,44
8,function,claimReward_re_ent4,45,51,
9,imaginary,block_9_imag,52,55,55
10,function,callme_re_ent7,56,62,
11,imaginary,block_11_imag,63,65,64
12,function,buyTicket_re_ent23,66,71,
13,imaginary,block_13_imag,72,75,75
14,function,bug_re_ent27,76,82,
15,imaginary,block_15_imag,83,86,86
16,function,withdrawFunds_re_ent31,87,92,
17,imaginary,block_17_imag,93,96,96
18,function,bug_re_ent13,97,104,
19,imaginary,block_19_imag,105,107,
20,function,function_at_108,108,121,
21,imaginary,block_21_imag,122,122,122
22,function,callme_re_ent14,123,129,
23,imaginary,block_23_imag,130,133,
24,function,_transfer,134,150,
25,imaginary,block_25_imag,151,152,151
26,function,buyTicket_re_ent30,153,158,
27,imaginary,block_27_imag,159,167,
28,function,transfer,168,171,
29,imaginary,block_29_imag,172,172,172
30,function,withdraw_balances_re_ent8,173,177,
31,imaginary,block_31_imag,178,187,
32,function,transferFrom,188,193,
33,imaginary,block_33_imag,194,194,194
34,function,claimReward_re_ent39,195,201,
35,imaginary,block_35_imag,202,210,
36,function,approve,211,216,
37,imaginary,block_37_imag,217,217,217
38,function,withdraw_balances_re_ent36,218,221,
39,imaginary,block_39_imag,222,231,
40,function,approveAndCall,232,240,
41,imaginary,block_41_imag,241,241,241
42,function,callme_re_ent35,242,248,
43,imaginary,block_43_imag,249,256,
44,function,burn,257,263,
45,imaginary,block_45_imag,264,264,264
46,function,withdrawBalance_re_ent40,265,273,
47,imaginary,block_47_imag,274,282,
48,function,burnFrom,283,291,
49,imaginary,block_49_imag,292,292,292
50,function,withdrawBalance_re_ent33,293,301,
51,imaginary,block_51_imag,302,302,
