line,loc,length,bug type,approach
425,422,9,Re-erntrancy,code snippet injection
413,409,7,Re-erntrancy,code snippet injection
396,393,8,Re-erntrancy,code snippet injection
383,379,10,Re-erntrancy,code snippet injection
367,363,10,Re-erntrancy,code snippet injection
351,348,8,Re-erntrancy,code snippet injection
338,336,5,Re-erntrancy,code snippet injection
312,307,8,Re-erntrancy,code snippet injection
296,294,6,Re-erntrancy,code snippet injection
283,280,8,Re-erntrancy,code snippet injection
258,255,8,Re-erntrancy,code snippet injection
244,241,8,Re-erntrancy,code snippet injection
232,229,8,Re-erntrancy,code snippet injection
222,217,8,Re-erntrancy,code snippet injection
210,206,7,Re-erntrancy,code snippet injection
129,124,8,Re-erntrancy,code snippet injection
115,112,8,Re-erntrancy,code snippet injection
102,98,10,Re-erntrancy,code snippet injection
89,85,9,Re-erntrancy,code snippet injection
198,193,8,Re-erntrancy,code snippet injection
186,183,9,Re-erntrancy,code snippet injection
178,174,8,Re-erntrancy,code snippet injection
168,165,8,Re-erntrancy,code snippet injection
160,156,8,Re-erntrancy,code snippet injection
149,146,8,Re-erntrancy,code snippet injection
140,137,8,Re-erntrancy,code snippet injection
73,70,8,Re-erntrancy,code snippet injection
65,63,6,Re-erntrancy,code snippet injection
59,54,8,Re-erntrancy,code snippet injection
