line,loc,length,bug type,approach
411,408,9,Re-erntrancy,code snippet injection
399,395,7,Re-erntrancy,code snippet injection
19,16,8,Re-erntrancy,code snippet injection
726,722,10,Re-erntrancy,code snippet injection
705,701,10,Re-erntrancy,code snippet injection
675,672,8,Re-erntrancy,code snippet injection
632,630,5,Re-erntrancy,code snippet injection
608,603,8,Re-erntrancy,code snippet injection
582,580,6,Re-erntrancy,code snippet injection
557,554,8,Re-erntrancy,code snippet injection
537,534,8,Re-erntrancy,code snippet injection
521,518,8,Re-erntrancy,code snippet injection
506,503,8,Re-erntrancy,code snippet injection
487,482,8,Re-erntrancy,code snippet injection
474,470,7,Re-erntrancy,code snippet injection
460,455,8,Re-erntrancy,code snippet injection
441,438,8,Re-erntrancy,code snippet injection
377,373,10,Re-erntrancy,code snippet injection
352,348,9,Re-erntrancy,code snippet injection
337,332,8,Re-erntrancy,code snippet injection
318,315,9,Re-erntrancy,code snippet injection
281,277,8,Re-erntrancy,code snippet injection
262,259,8,Re-erntrancy,code snippet injection
50,46,8,Re-erntrancy,code snippet injection
32,29,8,Re-erntrancy,code snippet injection
238,235,8,Re-erntrancy,code snippet injection
229,226,8,Re-erntrancy,code snippet injection
221,219,6,Re-erntrancy,code snippet injection
214,209,8,Re-erntrancy,code snippet injection
203,199,9,Re-erntrancy,code snippet injection
194,192,6,Re-erntrancy,code snippet injection
186,182,7,Re-erntrancy,code snippet injection
176,173,8,Re-erntrancy,code snippet injection
166,163,8,Re-erntrancy,code snippet injection
156,153,8,Re-erntrancy,code snippet injection
11,9,5,Re-erntrancy,code snippet injection
