line,loc,length,bug type,approach
144,141,9,Re-erntrancy,code snippet injection
100,96,7,Re-erntrancy,code snippet injection
90,87,8,Re-erntrancy,code snippet injection
432,428,10,Re-erntrancy,code snippet injection
414,410,10,Re-erntrancy,code snippet injection
397,394,8,Re-erntrancy,code snippet injection
378,376,5,Re-erntrancy,code snippet injection
364,359,8,Re-erntrancy,code snippet injection
337,335,6,Re-erntrancy,code snippet injection
315,312,8,Re-erntrancy,code snippet injection
294,291,8,Re-erntrancy,code snippet injection
278,275,8,Re-erntrancy,code snippet injection
262,259,8,Re-erntrancy,code snippet injection
190,185,8,Re-erntrancy,code snippet injection
176,172,7,Re-erntrancy,code snippet injection
160,155,8,Re-erntrancy,code snippet injection
112,109,8,Re-erntrancy,code snippet injection
80,76,10,Re-erntrancy,code snippet injection
70,66,9,Re-erntrancy,code snippet injection
62,57,8,Re-erntrancy,code snippet injection
50,47,9,Re-erntrancy,code snippet injection
42,38,8,Re-erntrancy,code snippet injection
32,29,8,Re-erntrancy,code snippet injection
240,236,8,Re-erntrancy,code snippet injection
227,224,8,Re-erntrancy,code snippet injection
218,215,8,Re-erntrancy,code snippet injection
209,206,8,Re-erntrancy,code snippet injection
201,199,6,Re-erntrancy,code snippet injection
136,131,8,Re-erntrancy,code snippet injection
125,121,9,Re-erntrancy,code snippet injection
