loc,length,bug type,approach
173,170,9,Re-erntrancy,code snippet injection
165,161,7,Re-erntrancy,code snippet injection
154,151,8,Re-erntrancy,code snippet injection
444,440,10,Re-erntrancy,code snippet injection
430,426,10,Re-erntrancy,code snippet injection
413,410,8,Re-erntrancy,code snippet injection
399,397,5,Re-erntrancy,code snippet injection
384,379,8,Re-erntrancy,code snippet injection
367,365,6,Re-erntrancy,code snippet injection
264,261,8,Re-erntrancy,code snippet injection
247,244,8,Re-erntrancy,code snippet injection
232,229,8,Re-erntrancy,code snippet injection
217,214,8,Re-erntrancy,code snippet injection
206,201,8,Re-erntrancy,code snippet injection
191,187,7,Re-erntrancy,code snippet injection
85,80,8,Re-erntrancy,code snippet injection
66,63,8,Re-erntrancy,code snippet injection
339,335,10,Re-erntrancy,code snippet injection
321,317,9,Re-erntrancy,code snippet injection
313,308,8,Re-erntrancy,code snippet injection
300,297,9,Re-erntrancy,code snippet injection
291,288,8,Re-erntrancy,code snippet injection
281,279,8,Re-erntrancy,code snippet injection
145,141,8,Re-erntrancy,code snippet injection
135,132,8,Re-erntrancy,code snippet injection
125,122,8,Re-erntrancy,code snippet injection
116,113,8,Re-erntrancy,code snippet injection
108,106,6,Re-erntrancy,code snippet injection
102,97,8,Re-erntrancy,code snippet injection
53,49,9,Re-erntrancy,code snippet injection
