line,loc,length,bug type,approach
66,63,8,Re+AC0-erntrancy,code snippet injection
76,72,8,Re+AC0-erntrancy,code snippet injection
84,81,9,Re+AC0-erntrancy,code snippet injection
96,91,8,Re+AC0-erntrancy,code snippet injection
104,100,9,Re+AC0-erntrancy,code snippet injection
114,110,10,Re+AC0-erntrancy,code snippet injection
131,128,7,Re+AC0-erntrancy,code snippet injection
140,136,8,Re+AC0-erntrancy,code snippet injection
148,145,9,Re+AC0-erntrancy,code snippet injection
164,159,8,Re+AC0-erntrancy,code snippet injection
175,171,7,Re+AC0-erntrancy,code snippet injection
186,181,8,Re+AC0-erntrancy,code snippet injection
196,193,8,Re+AC0-erntrancy,code snippet injection
208,205,8,Re+AC0-erntrancy,code snippet injection
221,218,8,Re+AC0-erntrancy,code snippet injection
233,230,8,Re+AC0-erntrancy,code snippet injection
245,243,6,Re+AC0-erntrancy,code snippet injection
260,255,8,Re+AC0-erntrancy,code snippet injection
270,268,5,Re+AC0-erntrancy,code snippet injection
281,278,8,Re+AC0-erntrancy,code snippet injection
299,295,10,Re+AC0-erntrancy,code snippet injection
316,312,10,Re+AC0-erntrancy,code snippet injection
328,325,8,Re+AC0-erntrancy,code snippet injection
