line,loc,length,bug type,approach
258,255,9,Re-erntrancy,code snippet injection
251,247,7,Re-erntrancy,code snippet injection
241,238,8,Re-erntrancy,code snippet injection
231,227,10,Re-erntrancy,code snippet injection
58,54,10,Re-erntrancy,code snippet injection
663,660,8,Re-erntrancy,code snippet injection
652,650,5,Re-erntrancy,code snippet injection
642,637,8,Re-erntrancy,code snippet injection
628,626,6,Re-erntrancy,code snippet injection
616,613,8,Re-erntrancy,code snippet injection
602,599,8,Re-erntrancy,code snippet injection
588,585,8,Re-erntrancy,code snippet injection
572,569,8,Re-erntrancy,code snippet injection
562,557,8,Re-erntrancy,code snippet injection
548,544,7,Re-erntrancy,code snippet injection
534,529,8,Re-erntrancy,code snippet injection
517,514,8,Re-erntrancy,code snippet injection
452,448,10,Re-erntrancy,code snippet injection
436,432,9,Re-erntrancy,code snippet injection
423,418,8,Re-erntrancy,code snippet injection
355,352,9,Re-erntrancy,code snippet injection
343,339,8,Re-erntrancy,code snippet injection
328,325,8,Re-erntrancy,code snippet injection
317,313,8,Re-erntrancy,code snippet injection
304,301,8,Re-erntrancy,code snippet injection
292,289,8,Re-erntrancy,code snippet injection
149,146,8,Re-erntrancy,code snippet injection
138,136,6,Re-erntrancy,code snippet injection
129,124,8,Re-erntrancy,code snippet injection
115,111,9,Re-erntrancy,code snippet injection
92,90,6,Re-erntrancy,code snippet injection
74,70,7,Re-erntrancy,code snippet injection
279,276,8,Re-erntrancy,code snippet injection
270,267,8,Re-erntrancy,code snippet injection
221,218,8,Re-erntrancy,code snippet injection
214,212,5,Re-erntrancy,code snippet injection
206,202,9,Re-erntrancy,code snippet injection
198,194,7,Re-erntrancy,code snippet injection
188,185,8,Re-erntrancy,code snippet injection
179,176,8,Re-erntrancy,code snippet injection
172,170,5,Re-erntrancy,code snippet injection
165,160,8,Re-erntrancy,code snippet injection
