line,loc,length,bug type,approach
237,234,9,Re-erntrancy,code snippet injection
230,226,7,Re-erntrancy,code snippet injection
315,312,8,Re-erntrancy,code snippet injection
299,295,10,Re-erntrancy,code snippet injection
216,212,10,Re-erntrancy,code snippet injection
198,195,8,Re-erntrancy,code snippet injection
181,179,5,Re-erntrancy,code snippet injection
162,157,8,Re-erntrancy,code snippet injection
141,139,6,Re-erntrancy,code snippet injection
88,85,8,Re-erntrancy,code snippet injection
79,76,8,Re-erntrancy,code snippet injection
70,67,8,Re-erntrancy,code snippet injection
61,58,8,Re-erntrancy,code snippet injection
54,49,8,Re-erntrancy,code snippet injection
284,280,7,Re-erntrancy,code snippet injection
276,271,8,Re-erntrancy,code snippet injection
265,262,8,Re-erntrancy,code snippet injection
255,251,10,Re-erntrancy,code snippet injection
125,121,9,Re-erntrancy,code snippet injection
117,112,8,Re-erntrancy,code snippet injection
105,102,9,Re-erntrancy,code snippet injection
