line,loc,length,bug type,approach
355,352,9,Re-erntrancy,code snippet injection
348,344,7,Re-erntrancy,code snippet injection
338,335,8,Re-erntrancy,code snippet injection
328,324,10,Re-erntrancy,code snippet injection
317,313,10,Re-erntrancy,code snippet injection
307,304,8,Re-erntrancy,code snippet injection
59,57,5,Re-erntrancy,code snippet injection
53,48,8,Re-erntrancy,code snippet injection
666,664,6,Re-erntrancy,code snippet injection
605,602,8,Re-erntrancy,code snippet injection
570,567,8,Re-erntrancy,code snippet injection
536,533,8,Re-erntrancy,code snippet injection
506,503,8,Re-erntrancy,code snippet injection
463,458,8,Re-erntrancy,code snippet injection
430,426,7,Re-erntrancy,code snippet injection
407,402,8,Re-erntrancy,code snippet injection
155,152,8,Re-erntrancy,code snippet injection
145,141,10,Re-erntrancy,code snippet injection
135,131,9,Re-erntrancy,code snippet injection
127,122,8,Re-erntrancy,code snippet injection
115,112,9,Re-erntrancy,code snippet injection
107,103,8,Re-erntrancy,code snippet injection
97,94,8,Re-erntrancy,code snippet injection
85,81,8,Re-erntrancy,code snippet injection
72,69,8,Re-erntrancy,code snippet injection
39,36,8,Re-erntrancy,code snippet injection
22,19,8,Re-erntrancy,code snippet injection
298,296,6,Re-erntrancy,code snippet injection
291,286,8,Re-erntrancy,code snippet injection
280,276,9,Re-erntrancy,code snippet injection
271,269,6,Re-erntrancy,code snippet injection
265,261,7,Re-erntrancy,code snippet injection
255,252,8,Re-erntrancy,code snippet injection
246,243,8,Re-erntrancy,code snippet injection
237,234,8,Re-erntrancy,code snippet injection
11,9,5,Re-erntrancy,code snippet injection
