line,loc,length,bug type,approach
76,73,9,Re-erntrancy,code snippet injection
69,65,7,Re-erntrancy,code snippet injection
58,55,8,Re-erntrancy,code snippet injection
48,44,10,Re-erntrancy,code snippet injection
37,33,10,Re-erntrancy,code snippet injection
27,24,8,Re-erntrancy,code snippet injection
20,18,5,Re-erntrancy,code snippet injection
14,9,8,Re-erntrancy,code snippet injection
379,377,6,Re-erntrancy,code snippet injection
368,365,8,Re-erntrancy,code snippet injection
353,350,8,Re-erntrancy,code snippet injection
341,338,8,Re-erntrancy,code snippet injection
308,305,8,Re-erntrancy,code snippet injection
293,288,8,Re-erntrancy,code snippet injection
276,272,7,Re-erntrancy,code snippet injection
263,258,8,Re-erntrancy,code snippet injection
246,243,8,Re-erntrancy,code snippet injection
231,227,10,Re-erntrancy,code snippet injection
187,183,9,Re-erntrancy,code snippet injection
179,174,8,Re-erntrancy,code snippet injection
166,163,9,Re-erntrancy,code snippet injection
158,154,8,Re-erntrancy,code snippet injection
148,145,8,Re-erntrancy,code snippet injection
139,135,8,Re-erntrancy,code snippet injection
128,125,8,Re-erntrancy,code snippet injection
118,115,8,Re-erntrancy,code snippet injection
109,106,8,Re-erntrancy,code snippet injection
101,99,6,Re-erntrancy,code snippet injection
