line,loc,length,bug type,approach
272,269,9,Re-erntrancy,code snippet injection
265,261,7,Re-erntrancy,code snippet injection
255,252,8,Re-erntrancy,code snippet injection
105,101,10,Re-erntrancy,code snippet injection
44,40,10,Re-erntrancy,code snippet injection
553,550,8,Re-erntrancy,code snippet injection
537,535,5,Re-erntrancy,code snippet injection
525,520,8,Re-erntrancy,code snippet injection
508,506,6,Re-erntrancy,code snippet injection
497,494,8,Re-erntrancy,code snippet injection
433,430,8,Re-erntrancy,code snippet injection
417,414,8,Re-erntrancy,code snippet injection
394,391,8,Re-erntrancy,code snippet injection
370,365,8,Re-erntrancy,code snippet injection
354,350,7,Re-erntrancy,code snippet injection
338,333,8,Re-erntrancy,code snippet injection
324,321,8,Re-erntrancy,code snippet injection
312,308,10,Re-erntrancy,code snippet injection
301,297,9,Re-erntrancy,code snippet injection
186,181,8,Re-erntrancy,code snippet injection
166,163,9,Re-erntrancy,code snippet injection
127,123,8,Re-erntrancy,code snippet injection
76,73,8,Re-erntrancy,code snippet injection
59,55,8,Re-erntrancy,code snippet injection
476,473,8,Re-erntrancy,code snippet injection
240,237,8,Re-erntrancy,code snippet injection
231,228,8,Re-erntrancy,code snippet injection
223,221,6,Re-erntrancy,code snippet injection
217,212,8,Re-erntrancy,code snippet injection
94,90,9,Re-erntrancy,code snippet injection
34,32,6,Re-erntrancy,code snippet injection
