line,loc,length,bug type,approach
578,575,9,Re-erntrancy,code snippet injection
559,555,7,Re-erntrancy,code snippet injection
543,540,8,Re-erntrancy,code snippet injection
527,523,10,Re-erntrancy,code snippet injection
510,506,10,Re-erntrancy,code snippet injection
453,450,8,Re-erntrancy,code snippet injection
438,436,5,Re-erntrancy,code snippet injection
414,409,8,Re-erntrancy,code snippet injection
392,390,6,Re-erntrancy,code snippet injection
371,368,8,Re-erntrancy,code snippet injection
349,346,8,Re-erntrancy,code snippet injection
326,323,8,Re-erntrancy,code snippet injection
304,301,8,Re-erntrancy,code snippet injection
283,278,8,Re-erntrancy,code snippet injection
260,256,7,Re-erntrancy,code snippet injection
239,234,8,Re-erntrancy,code snippet injection
215,212,8,Re-erntrancy,code snippet injection
196,192,10,Re-erntrancy,code snippet injection
177,173,9,Re-erntrancy,code snippet injection
161,156,8,Re-erntrancy,code snippet injection
493,490,9,Re-erntrancy,code snippet injection
485,481,8,Re-erntrancy,code snippet injection
475,472,8,Re-erntrancy,code snippet injection
144,140,8,Re-erntrancy,code snippet injection
133,130,8,Re-erntrancy,code snippet injection
123,120,8,Re-erntrancy,code snippet injection
