line,loc,length,bug type,approach
95,92,9,Re-erntrancy,code snippet injection
86,82,7,Re-erntrancy,code snippet injection
74,71,8,Re-erntrancy,code snippet injection
292,288,10,Re-erntrancy,code snippet injection
264,260,10,Re-erntrancy,code snippet injection
240,237,8,Re-erntrancy,code snippet injection
215,213,5,Re-erntrancy,code snippet injection
195,190,8,Re-erntrancy,code snippet injection
170,168,6,Re-erntrancy,code snippet injection
150,147,8,Re-erntrancy,code snippet injection
121,118,8,Re-erntrancy,code snippet injection
63,60,8,Re-erntrancy,code snippet injection
54,51,8,Re-erntrancy,code snippet injection
45,40,8,Re-erntrancy,code snippet injection
35,31,7,Re-erntrancy,code snippet injection
27,22,8,Re-erntrancy,code snippet injection
16,13,8,Re-erntrancy,code snippet injection
