line,loc,length,bug type,approach
169,166,9,Re-erntrancy,code snippet injection
117,113,7,Re-erntrancy,code snippet injection
107,104,8,Re-erntrancy,code snippet injection
477,473,10,Re-erntrancy,code snippet injection
459,455,10,Re-erntrancy,code snippet injection
437,434,8,Re-erntrancy,code snippet injection
422,420,5,Re-erntrancy,code snippet injection
399,394,8,Re-erntrancy,code snippet injection
375,373,6,Re-erntrancy,code snippet injection
357,354,8,Re-erntrancy,code snippet injection
342,339,8,Re-erntrancy,code snippet injection
321,318,8,Re-erntrancy,code snippet injection
305,302,8,Re-erntrancy,code snippet injection
291,286,8,Re-erntrancy,code snippet injection
215,211,7,Re-erntrancy,code snippet injection
202,197,8,Re-erntrancy,code snippet injection
183,180,8,Re-erntrancy,code snippet injection
135,131,10,Re-erntrancy,code snippet injection
98,94,9,Re-erntrancy,code snippet injection
90,85,8,Re-erntrancy,code snippet injection
78,75,9,Re-erntrancy,code snippet injection
70,66,8,Re-erntrancy,code snippet injection
60,57,8,Re-erntrancy,code snippet injection
52,48,8,Re-erntrancy,code snippet injection
267,264,8,Re-erntrancy,code snippet injection
256,253,8,Re-erntrancy,code snippet injection
247,244,8,Re-erntrancy,code snippet injection
239,237,6,Re-erntrancy,code snippet injection
233,228,8,Re-erntrancy,code snippet injection
159,155,9,Re-erntrancy,code snippet injection
150,148,6,Re-erntrancy,code snippet injection
