line,loc,length,bug type,approach
65,62,8,Re+AC0-erntrancy,code snippet injection
75,71,7,Re+AC0-erntrancy,code snippet injection
81,79,6,Re+AC0-erntrancy,code snippet injection
90,86,9,Re+AC0-erntrancy,code snippet injection
101,96,8,Re+AC0-erntrancy,code snippet injection
107,105,10,Re+AC0-erntrancy,code snippet injection
115,111,6,Re+AC0-erntrancy,code snippet injection
125,122,8,Re+AC0-erntrancy,code snippet injection
146,143,8,Re+AC0-erntrancy,code snippet injection
167,163,7,Re+AC0-erntrancy,code snippet injection
178,175,8,Re+AC0-erntrancy,code snippet injection
195,192,8,Re+AC0-erntrancy,code snippet injection
211,207,8,Re+AC0-erntrancy,code snippet injection
250,245,8,Re+AC0-erntrancy,code snippet injection
256,254,5,Re+AC0-erntrancy,code snippet injection
263,260,8,Re+AC0-erntrancy,code snippet injection
272,269,8,Re+AC0-erntrancy,code snippet injection
282,278,7,Re+AC0-erntrancy,code snippet injection
290,286,9,Re+AC0-erntrancy,code snippet injection
298,296,5,Re+AC0-erntrancy,code snippet injection
306,303,8,Re+AC0-erntrancy,code snippet injection
315,312,8,Re+AC0-erntrancy,code snippet injection
325,322,9,Re+AC0-erntrancy,code snippet injection
361,358,8,Re+AC0-erntrancy,code snippet injection
395,391,8,Re+AC0-erntrancy,code snippet injection
423,420,9,Re+AC0-erntrancy,code snippet injection
466,461,8,Re+AC0-erntrancy,code snippet injection
478,474,9,Re+AC0-erntrancy,code snippet injection
492,488,10,Re+AC0-erntrancy,code snippet injection
505,502,8,Re+AC0-erntrancy,code snippet injection
523,518,8,Re+AC0-erntrancy,code snippet injection
536,532,7,Re+AC0-erntrancy,code snippet injection
551,546,8,Re+AC0-erntrancy,code snippet injection
565,562,8,Re+AC0-erntrancy,code snippet injection
581,578,8,Re+AC0-erntrancy,code snippet injection
612,609,8,Re+AC0-erntrancy,code snippet injection
635,632,8,Re+AC0-erntrancy,code snippet injection
664,662,6,Re+AC0-erntrancy,code snippet injection
682,677,8,Re+AC0-erntrancy,code snippet injection
700,698,5,Re+AC0-erntrancy,code snippet injection
714,711,8,Re+AC0-erntrancy,code snippet injection
731,727,10,Re+AC0-erntrancy,code snippet injection
