line,loc,length,bug type,approach
25,22,8,Re+AC0-erntrancy,code snippet injection
39,36,8,Re+AC0-erntrancy,code snippet injection
54,51,8,Re+AC0-erntrancy,code snippet injection
68,65,8,Re+AC0-erntrancy,code snippet injection
80,78,6,Re+AC0-erntrancy,code snippet injection
90,86,7,Re+AC0-erntrancy,code snippet injection
97,94,9,Re+AC0-erntrancy,code snippet injection
112,108,10,Re+AC0-erntrancy,code snippet injection
122,119,8,Re+AC0-erntrancy,code snippet injection
139,134,8,Re+AC0-erntrancy,code snippet injection
147,143,7,Re+AC0-erntrancy,code snippet injection
156,151,8,Re+AC0-erntrancy,code snippet injection
173,168,8,Re+AC0-erntrancy,code snippet injection
186,184,5,Re+AC0-erntrancy,code snippet injection
204,201,8,Re+AC0-erntrancy,code snippet injection
217,213,10,Re+AC0-erntrancy,code snippet injection
233,229,10,Re+AC0-erntrancy,code snippet injection
246,243,8,Re+AC0-erntrancy,code snippet injection
