line,loc,length,bug type,approach
576,573,9,Re-erntrancy,code snippet injection
569,565,7,Re-erntrancy,code snippet injection
559,556,8,Re-erntrancy,code snippet injection
139,135,10,Re-erntrancy,code snippet injection
115,111,10,Re-erntrancy,code snippet injection
105,102,8,Re-erntrancy,code snippet injection
552,550,5,Re-erntrancy,code snippet injection
541,536,8,Re-erntrancy,code snippet injection
525,523,6,Re-erntrancy,code snippet injection
510,507,8,Re-erntrancy,code snippet injection
497,494,8,Re-erntrancy,code snippet injection
483,480,8,Re-erntrancy,code snippet injection
471,468,8,Re-erntrancy,code snippet injection
449,444,8,Re-erntrancy,code snippet injection
434,430,7,Re-erntrancy,code snippet injection
422,417,8,Re-erntrancy,code snippet injection
408,405,8,Re-erntrancy,code snippet injection
385,381,10,Re-erntrancy,code snippet injection
371,367,9,Re-erntrancy,code snippet injection
360,355,8,Re-erntrancy,code snippet injection
340,337,9,Re-erntrancy,code snippet injection
318,314,8,Re-erntrancy,code snippet injection
305,302,8,Re-erntrancy,code snippet injection
293,289,8,Re-erntrancy,code snippet injection
280,277,8,Re-erntrancy,code snippet injection
183,180,8,Re-erntrancy,code snippet injection
157,154,8,Re-erntrancy,code snippet injection
97,95,6,Re-erntrancy,code snippet injection
91,86,8,Re-erntrancy,code snippet injection
80,76,9,Re-erntrancy,code snippet injection
71,69,6,Re-erntrancy,code snippet injection
65,61,7,Re-erntrancy,code snippet injection
55,52,8,Re-erntrancy,code snippet injection
258,255,8,Re-erntrancy,code snippet injection
248,245,8,Re-erntrancy,code snippet injection
240,238,5,Re-erntrancy,code snippet injection
232,228,9,Re-erntrancy,code snippet injection
224,220,7,Re-erntrancy,code snippet injection
214,211,8,Re-erntrancy,code snippet injection
204,201,8,Re-erntrancy,code snippet injection
201,195,5,Re-erntrancy,code snippet injection
131,126,8,Re-erntrancy,code snippet injection
