line,loc,length,bug type,approach
129,126,9,Re-erntrancy,code snippet injection
122,118,7,Re-erntrancy,code snippet injection
112,109,8,Re-erntrancy,code snippet injection
102,98,10,Re-erntrancy,code snippet injection
91,87,10,Re-erntrancy,code snippet injection
81,78,8,Re-erntrancy,code snippet injection
74,72,5,Re-erntrancy,code snippet injection
366,361,8,Re-erntrancy,code snippet injection
350,348,6,Re-erntrancy,code snippet injection
338,335,8,Re-erntrancy,code snippet injection
325,322,8,Re-erntrancy,code snippet injection
312,309,8,Re-erntrancy,code snippet injection
293,290,8,Re-erntrancy,code snippet injection
253,248,8,Re-erntrancy,code snippet injection
205,201,7,Re-erntrancy,code snippet injection
182,177,8,Re-erntrancy,code snippet injection
159,156,8,Re-erntrancy,code snippet injection
145,141,10,Re-erntrancy,code snippet injection
64,60,9,Re-erntrancy,code snippet injection
47,42,8,Re-erntrancy,code snippet injection
16,13,9,Re-erntrancy,code snippet injection
