line,loc,length,bug type,approach
229,226,10,Overflow-Underflow,code snippet injection
223,221,4,Overflow-Underflow,code snippet injection
218,216,4,Overflow-Underflow,code snippet injection
208,205,10,Overflow-Underflow,code snippet injection
56,54,4,Overflow-Underflow,code snippet injection
598,596,4,Overflow-Underflow,code snippet injection
589,587,4,Overflow-Underflow,code snippet injection
580,578,4,Overflow-Underflow,code snippet injection
571,569,4,Overflow-Underflow,code snippet injection
559,556,8,Overflow-Underflow,code snippet injection
560,556,8,Overflow-Underflow,code snippet injection
561,556,8,Overflow-Underflow,code snippet injection
545,542,8,Overflow-Underflow,code snippet injection
546,542,8,Overflow-Underflow,code snippet injection
547,542,8,Overflow-Underflow,code snippet injection
534,532,4,Overflow-Underflow,code snippet injection
522,520,4,Overflow-Underflow,code snippet injection
514,512,4,Overflow-Underflow,code snippet injection
501,498,8,Overflow-Underflow,code snippet injection
502,498,8,Overflow-Underflow,code snippet injection
503,498,8,Overflow-Underflow,code snippet injection
489,487,4,Overflow-Underflow,code snippet injection
478,476,4,Overflow-Underflow,code snippet injection
415,412,8,Overflow-Underflow,code snippet injection
416,412,8,Overflow-Underflow,code snippet injection
417,412,8,Overflow-Underflow,code snippet injection
403,401,4,Overflow-Underflow,code snippet injection
388,385,10,Overflow-Underflow,code snippet injection
321,318,10,Overflow-Underflow,code snippet injection
311,309,4,Overflow-Underflow,code snippet injection
296,293,10,Overflow-Underflow,code snippet injection
282,279,10,Overflow-Underflow,code snippet injection
270,267,8,Overflow-Underflow,code snippet injection
271,267,8,Overflow-Underflow,code snippet injection
272,267,8,Overflow-Underflow,code snippet injection
256,253,10,Overflow-Underflow,code snippet injection
144,142,4,Overflow-Underflow,code snippet injection
136,134,4,Overflow-Underflow,code snippet injection
125,122,8,Overflow-Underflow,code snippet injection
126,122,8,Overflow-Underflow,code snippet injection
127,122,8,Overflow-Underflow,code snippet injection
113,110,8,Overflow-Underflow,code snippet injection
114,110,8,Overflow-Underflow,code snippet injection
115,110,8,Overflow-Underflow,code snippet injection
88,85,10,Overflow-Underflow,code snippet injection
67,64,8,Overflow-Underflow,code snippet injection
68,64,8,Overflow-Underflow,code snippet injection
69,64,8,Overflow-Underflow,code snippet injection
246,244,4,Overflow-Underflow,code snippet injection
241,239,4,Overflow-Underflow,code snippet injection
197,194,10,Overflow-Underflow,code snippet injection
191,189,4,Overflow-Underflow,code snippet injection
186,184,4,Overflow-Underflow,code snippet injection
178,175,8,Overflow-Underflow,code snippet injection
179,175,8,Overflow-Underflow,code snippet injection
180,175,8,Overflow-Underflow,code snippet injection
167,164,10,Overflow-Underflow,code snippet injection
158,155,8,Overflow-Underflow,code snippet injection
159,155,8,Overflow-Underflow,code snippet injection
160,155,8,Overflow-Underflow,code snippet injection
