line,loc,length,bug type,approach
310,307,10,Overflow-Underflow,code snippet injection
289,287,4,Overflow-Underflow,code snippet injection
278,276,4,Overflow-Underflow,code snippet injection
262,259,10,Overflow-Underflow,code snippet injection
250,248,4,Overflow-Underflow,code snippet injection
226,224,4,Overflow-Underflow,code snippet injection
214,212,4,Overflow-Underflow,code snippet injection
202,200,4,Overflow-Underflow,code snippet injection
189,187,4,Overflow-Underflow,code snippet injection
175,172,8,Overflow-Underflow,code snippet injection
176,172,8,Overflow-Underflow,code snippet injection
177,172,8,Overflow-Underflow,code snippet injection
163,160,8,Overflow-Underflow,code snippet injection
164,160,8,Overflow-Underflow,code snippet injection
165,160,8,Overflow-Underflow,code snippet injection
154,152,4,Overflow-Underflow,code snippet injection
145,143,4,Overflow-Underflow,code snippet injection
135,133,4,Overflow-Underflow,code snippet injection
123,120,8,Overflow-Underflow,code snippet injection
124,120,8,Overflow-Underflow,code snippet injection
125,120,8,Overflow-Underflow,code snippet injection
114,112,4,Overflow-Underflow,code snippet injection
296,294,4,Overflow-Underflow,code snippet injection
236,233,8,Overflow-Underflow,code snippet injection
237,233,8,Overflow-Underflow,code snippet injection
238,233,8,Overflow-Underflow,code snippet injection
104,102,4,Overflow-Underflow,code snippet injection
94,91,10,Overflow-Underflow,code snippet injection
80,77,10,Overflow-Underflow,code snippet injection
74,72,4,Overflow-Underflow,code snippet injection
