line,loc,length,bug type,approach
174,171,10,Overflow-Underflow,code snippet injection
168,166,4,Overflow-Underflow,code snippet injection
31,29,4,Overflow-Underflow,code snippet injection
282,279,10,Overflow-Underflow,code snippet injection
271,269,4,Overflow-Underflow,code snippet injection
263,261,4,Overflow-Underflow,code snippet injection
254,252,4,Overflow-Underflow,code snippet injection
246,244,4,Overflow-Underflow,code snippet injection
238,236,4,Overflow-Underflow,code snippet injection
220,217,8,Overflow-Underflow,code snippet injection
221,217,8,Overflow-Underflow,code snippet injection
222,217,8,Overflow-Underflow,code snippet injection
203,200,8,Overflow-Underflow,code snippet injection
204,200,8,Overflow-Underflow,code snippet injection
205,200,8,Overflow-Underflow,code snippet injection
108,106,4,Overflow-Underflow,code snippet injection
103,101,4,Overflow-Underflow,code snippet injection
98,96,4,Overflow-Underflow,code snippet injection
54,51,8,Overflow-Underflow,code snippet injection
55,51,8,Overflow-Underflow,code snippet injection
56,51,8,Overflow-Underflow,code snippet injection
40,38,4,Overflow-Underflow,code snippet injection
190,188,4,Overflow-Underflow,code snippet injection
160,157,8,Overflow-Underflow,code snippet injection
161,157,8,Overflow-Underflow,code snippet injection
162,157,8,Overflow-Underflow,code snippet injection
154,152,4,Overflow-Underflow,code snippet injection
143,140,10,Overflow-Underflow,code snippet injection
132,129,10,Overflow-Underflow,code snippet injection
126,124,4,Overflow-Underflow,code snippet injection
116,113,10,Overflow-Underflow,code snippet injection
20,17,10,Overflow-Underflow,code snippet injection
11,8,8,Overflow-Underflow,code snippet injection
12,8,8,Overflow-Underflow,code snippet injection
13,8,8,Overflow-Underflow,code snippet injection
