line,loc,length,bug type,approach
69,66,10,Overflow-Underflow,code snippet injection
61,59,4,Overflow-Underflow,code snippet injection
54,52,4,Overflow-Underflow,code snippet injection
249,246,10,Overflow-Underflow,code snippet injection
226,224,4,Overflow-Underflow,code snippet injection
207,205,4,Overflow-Underflow,code snippet injection
184,182,4,Overflow-Underflow,code snippet injection
165,163,4,Overflow-Underflow,code snippet injection
145,143,4,Overflow-Underflow,code snippet injection
125,122,8,Overflow-Underflow,code snippet injection
126,122,8,Overflow-Underflow,code snippet injection
127,122,8,Overflow-Underflow,code snippet injection
96,93,8,Overflow-Underflow,code snippet injection
97,93,8,Overflow-Underflow,code snippet injection
98,93,8,Overflow-Underflow,code snippet injection
47,45,4,Overflow-Underflow,code snippet injection
42,40,4,Overflow-Underflow,code snippet injection
35,33,4,Overflow-Underflow,code snippet injection
26,23,8,Overflow-Underflow,code snippet injection
27,23,8,Overflow-Underflow,code snippet injection
28,23,8,Overflow-Underflow,code snippet injection
20,18,4,Overflow-Underflow,code snippet injection
15,13,4,Overflow-Underflow,code snippet injection
