line,loc,length,bug type,approach
393,390,10,Overflow-Underflow,code snippet injection
200,198,4,Overflow-Underflow,code snippet injection
195,193,4,Overflow-Underflow,code snippet injection
53,50,10,Overflow-Underflow,code snippet injection
12,10,4,Overflow-Underflow,code snippet injection
489,487,4,Overflow-Underflow,code snippet injection
477,475,4,Overflow-Underflow,code snippet injection
465,463,4,Overflow-Underflow,code snippet injection
453,451,4,Overflow-Underflow,code snippet injection
436,433,8,Overflow-Underflow,code snippet injection
437,433,8,Overflow-Underflow,code snippet injection
438,433,8,Overflow-Underflow,code snippet injection
374,371,8,Overflow-Underflow,code snippet injection
375,371,8,Overflow-Underflow,code snippet injection
376,371,8,Overflow-Underflow,code snippet injection
365,363,4,Overflow-Underflow,code snippet injection
357,355,4,Overflow-Underflow,code snippet injection
293,291,4,Overflow-Underflow,code snippet injection
263,260,8,Overflow-Underflow,code snippet injection
264,260,8,Overflow-Underflow,code snippet injection
265,260,8,Overflow-Underflow,code snippet injection
221,219,4,Overflow-Underflow,code snippet injection
212,210,4,Overflow-Underflow,code snippet injection
181,178,8,Overflow-Underflow,code snippet injection
182,178,8,Overflow-Underflow,code snippet injection
183,178,8,Overflow-Underflow,code snippet injection
172,170,4,Overflow-Underflow,code snippet injection
159,156,10,Overflow-Underflow,code snippet injection
145,142,10,Overflow-Underflow,code snippet injection
134,132,4,Overflow-Underflow,code snippet injection
119,116,10,Overflow-Underflow,code snippet injection
103,100,10,Overflow-Underflow,code snippet injection
88,85,8,Overflow-Underflow,code snippet injection
89,85,8,Overflow-Underflow,code snippet injection
90,85,8,Overflow-Underflow,code snippet injection
72,69,10,Overflow-Underflow,code snippet injection
23,21,4,Overflow-Underflow,code snippet injection
332,330,4,Overflow-Underflow,code snippet injection
43,40,8,Overflow-Underflow,code snippet injection
44,40,8,Overflow-Underflow,code snippet injection
45,40,8,Overflow-Underflow,code snippet injection
34,31,8,Overflow-Underflow,code snippet injection
35,31,8,Overflow-Underflow,code snippet injection
36,31,8,Overflow-Underflow,code snippet injection
