line,loc,length,bug type,approach
11,10,3,tx.origin,code snippet injection
21,20,4,tx.origin,code snippet injection
31,30,4,tx.origin,code snippet injection
36,35,4,tx.origin,code snippet injection
42,41,4,tx.origin,code snippet injection
55,54,4,tx.origin,code snippet injection
65,64,4,tx.origin,code snippet injection
76,75,4,tx.origin,code snippet injection
86,85,4,tx.origin,code snippet injection
96,95,4,tx.origin,code snippet injection
106,105,4,tx.origin,code snippet injection
114,113,4,tx.origin,code snippet injection
122,121,4,tx.origin,code snippet injection
130,129,4,tx.origin,code snippet injection
141,140,4,tx.origin,code snippet injection
146,145,4,tx.origin,code snippet injection
158,157,3,tx.origin,code snippet injection
166,165,3,tx.origin,code snippet injection
206,205,4,tx.origin,code snippet injection
233,232,3,tx.origin,code snippet injection
271,270,3,tx.origin,code snippet injection
295,294,4,tx.origin,code snippet injection
303,302,4,tx.origin,code snippet injection
311,310,4,tx.origin,code snippet injection
326,325,4,tx.origin,code snippet injection
363,362,4,tx.origin,code snippet injection
377,376,3,tx.origin,code snippet injection
388,387,4,tx.origin,code snippet injection
400,399,3,tx.origin,code snippet injection
411,410,4,tx.origin,code snippet injection
