line,loc,length,bug type,approach
30,29,4,tx.origin,code snippet injection
35,34,4,tx.origin,code snippet injection
40,39,4,tx.origin,code snippet injection
45,44,4,tx.origin,code snippet injection
50,49,4,tx.origin,code snippet injection
55,54,4,tx.origin,code snippet injection
60,59,4,tx.origin,code snippet injection
65,64,4,tx.origin,code snippet injection
75,74,3,tx.origin,code snippet injection
82,81,4,tx.origin,code snippet injection
87,86,4,tx.origin,code snippet injection
93,92,4,tx.origin,code snippet injection
102,101,3,tx.origin,code snippet injection
114,113,4,tx.origin,code snippet injection
124,123,3,tx.origin,code snippet injection
133,132,4,tx.origin,code snippet injection
138,137,3,tx.origin,code snippet injection
142,141,4,tx.origin,code snippet injection
147,146,4,tx.origin,code snippet injection
154,153,4,tx.origin,code snippet injection
159,158,4,tx.origin,code snippet injection
178,177,4,tx.origin,code snippet injection
190,189,4,tx.origin,code snippet injection
202,201,4,tx.origin,code snippet injection
219,218,4,tx.origin,code snippet injection
238,237,3,tx.origin,code snippet injection
259,258,4,tx.origin,code snippet injection
272,271,3,tx.origin,code snippet injection
288,287,4,tx.origin,code snippet injection
300,299,3,tx.origin,code snippet injection
311,310,4,tx.origin,code snippet injection
