line,loc,length,bug type,approach
50,49,4,tx.origin,code snippet injection
59,58,3,tx.origin,code snippet injection
71,70,3,tx.origin,code snippet injection
83,82,4,tx.origin,code snippet injection
88,87,3,tx.origin,code snippet injection
92,91,4,tx.origin,code snippet injection
97,96,4,tx.origin,code snippet injection
103,102,4,tx.origin,code snippet injection
108,107,4,tx.origin,code snippet injection
114,113,4,tx.origin,code snippet injection
120,119,4,tx.origin,code snippet injection
126,125,4,tx.origin,code snippet injection
138,137,4,tx.origin,code snippet injection
149,148,3,tx.origin,code snippet injection
157,156,4,tx.origin,code snippet injection
168,167,4,tx.origin,code snippet injection
179,178,4,tx.origin,code snippet injection
192,191,4,tx.origin,code snippet injection
206,205,4,tx.origin,code snippet injection
211,210,4,tx.origin,code snippet injection
216,215,4,tx.origin,code snippet injection
222,221,4,tx.origin,code snippet injection
227,226,4,tx.origin,code snippet injection
240,239,4,tx.origin,code snippet injection
264,263,3,tx.origin,code snippet injection
275,274,4,tx.origin,code snippet injection
289,288,3,tx.origin,code snippet injection
300,299,4,tx.origin,code snippet injection
312,311,3,tx.origin,code snippet injection
319,318,4,tx.origin,code snippet injection
