line,loc,length,bug type,approach
64,63,4,tx.origin,code snippet injection
69,68,4,tx.origin,code snippet injection
74,73,4,tx.origin,code snippet injection
79,78,4,tx.origin,code snippet injection
84,83,4,tx.origin,code snippet injection
89,88,4,tx.origin,code snippet injection
101,100,4,tx.origin,code snippet injection
104,103,3,tx.origin,code snippet injection
110,109,4,tx.origin,code snippet injection
119,118,3,tx.origin,code snippet injection
126,125,4,tx.origin,code snippet injection
133,132,3,tx.origin,code snippet injection
140,139,4,tx.origin,code snippet injection
148,147,4,tx.origin,code snippet injection
157,156,4,tx.origin,code snippet injection
165,164,4,tx.origin,code snippet injection
174,173,3,tx.origin,code snippet injection
183,182,4,tx.origin,code snippet injection
192,191,3,tx.origin,code snippet injection
200,199,4,tx.origin,code snippet injection
213,212,3,tx.origin,code snippet injection
223,222,4,tx.origin,code snippet injection
230,229,4,tx.origin,code snippet injection
