line,loc,length,bug type,approach
31,30,4,tx.origin,code snippet injection
39,38,4,tx.origin,code snippet injection
47,46,4,tx.origin,code snippet injection
55,54,4,tx.origin,code snippet injection
68,67,4,tx.origin,code snippet injection
73,72,4,tx.origin,code snippet injection
78,77,4,tx.origin,code snippet injection
83,82,4,tx.origin,code snippet injection
88,87,4,tx.origin,code snippet injection
93,92,4,tx.origin,code snippet injection
98,97,4,tx.origin,code snippet injection
103,102,4,tx.origin,code snippet injection
118,117,3,tx.origin,code snippet injection
128,127,4,tx.origin,code snippet injection
133,132,4,tx.origin,code snippet injection
139,138,4,tx.origin,code snippet injection
148,147,3,tx.origin,code snippet injection
160,159,4,tx.origin,code snippet injection
170,169,3,tx.origin,code snippet injection
181,180,3,tx.origin,code snippet injection
185,184,4,tx.origin,code snippet injection
190,189,4,tx.origin,code snippet injection
195,194,4,tx.origin,code snippet injection
201,200,4,tx.origin,code snippet injection
206,205,3,tx.origin,code snippet injection
223,222,4,tx.origin,code snippet injection
235,234,4,tx.origin,code snippet injection
247,246,4,tx.origin,code snippet injection
264,263,4,tx.origin,code snippet injection
283,282,3,tx.origin,code snippet injection
304,303,4,tx.origin,code snippet injection
317,316,3,tx.origin,code snippet injection
333,332,4,tx.origin,code snippet injection
345,344,3,tx.origin,code snippet injection
356,355,4,tx.origin,code snippet injection
