line,loc,length,bug type,approach
11,10,4,tx.origin,code snippet injection
22,21,4,tx.origin,code snippet injection
32,31,4,tx.origin,code snippet injection
37,36,3,tx.origin,code snippet injection
42,41,4,tx.origin,code snippet injection
56,55,4,tx.origin,code snippet injection
66,65,4,tx.origin,code snippet injection
77,76,4,tx.origin,code snippet injection
87,86,4,tx.origin,code snippet injection
97,96,4,tx.origin,code snippet injection
107,106,4,tx.origin,code snippet injection
115,114,4,tx.origin,code snippet injection
123,122,3,tx.origin,code snippet injection
130,129,3,tx.origin,code snippet injection
170,169,4,tx.origin,code snippet injection
197,196,3,tx.origin,code snippet injection
234,233,4,tx.origin,code snippet injection
240,239,4,tx.origin,code snippet injection
252,251,4,tx.origin,code snippet injection
262,261,4,tx.origin,code snippet injection
273,272,4,tx.origin,code snippet injection
298,297,4,tx.origin,code snippet injection
306,305,4,tx.origin,code snippet injection
314,313,3,tx.origin,code snippet injection
327,326,4,tx.origin,code snippet injection
358,357,4,tx.origin,code snippet injection
372,371,3,tx.origin,code snippet injection
383,382,4,tx.origin,code snippet injection
395,394,3,tx.origin,code snippet injection
