line,loc,length,bug type,approach
10,9,4,tx.origin,code snippet injection
15,14,3,tx.origin,code snippet injection
19,18,4,tx.origin,code snippet injection
24,23,3,tx.origin,code snippet injection
28,27,4,tx.origin,code snippet injection
33,32,4,tx.origin,code snippet injection
39,38,4,tx.origin,code snippet injection
44,43,4,tx.origin,code snippet injection
65,64,3,tx.origin,code snippet injection
69,68,4,tx.origin,code snippet injection
74,73,4,tx.origin,code snippet injection
80,79,4,tx.origin,code snippet injection
86,85,4,tx.origin,code snippet injection
92,91,4,tx.origin,code snippet injection
97,96,4,tx.origin,code snippet injection
102,101,4,tx.origin,code snippet injection
108,107,4,tx.origin,code snippet injection
113,112,4,tx.origin,code snippet injection
152,151,4,tx.origin,code snippet injection
162,161,3,tx.origin,code snippet injection
172,171,3,tx.origin,code snippet injection
181,180,4,tx.origin,code snippet injection
194,193,3,tx.origin,code snippet injection
206,205,4,tx.origin,code snippet injection
235,234,4,tx.origin,code snippet injection
243,242,4,tx.origin,code snippet injection
254,253,4,tx.origin,code snippet injection
262,261,3,tx.origin,code snippet injection
