line,loc,length,bug type,approach
49,48,4,tx.origin,code snippet injection
54,53,4,tx.origin,code snippet injection
59,58,4,tx.origin,code snippet injection
64,63,4,tx.origin,code snippet injection
69,68,4,tx.origin,code snippet injection
74,73,4,tx.origin,code snippet injection
79,78,4,tx.origin,code snippet injection
84,83,4,tx.origin,code snippet injection
99,98,4,tx.origin,code snippet injection
110,109,4,tx.origin,code snippet injection
115,114,4,tx.origin,code snippet injection
121,120,4,tx.origin,code snippet injection
130,129,3,tx.origin,code snippet injection
142,141,3,tx.origin,code snippet injection
151,150,4,tx.origin,code snippet injection
165,164,4,tx.origin,code snippet injection
170,169,4,tx.origin,code snippet injection
175,174,3,tx.origin,code snippet injection
179,178,4,tx.origin,code snippet injection
185,184,4,tx.origin,code snippet injection
190,189,4,tx.origin,code snippet injection
208,207,3,tx.origin,code snippet injection
219,218,4,tx.origin,code snippet injection
231,230,4,tx.origin,code snippet injection
248,247,4,tx.origin,code snippet injection
259,258,4,tx.origin,code snippet injection
274,273,3,tx.origin,code snippet injection
292,291,4,tx.origin,code snippet injection
314,313,3,tx.origin,code snippet injection
326,325,4,tx.origin,code snippet injection
343,342,3,tx.origin,code snippet injection
354,353,4,tx.origin,code snippet injection
