line,loc,length,bug type,approach
231,230,4,tx.origin,code snippet injection
236,235,4,tx.origin,code snippet injection
241,240,4,tx.origin,code snippet injection
246,245,3,tx.origin,code snippet injection
250,249,3,tx.origin,code snippet injection
254,253,4,tx.origin,code snippet injection
259,258,4,tx.origin,code snippet injection
264,263,3,tx.origin,code snippet injection
269,268,4,tx.origin,code snippet injection
274,273,4,tx.origin,code snippet injection
279,278,4,tx.origin,code snippet injection
284,283,4,tx.origin,code snippet injection
289,288,3,tx.origin,code snippet injection
311,310,4,tx.origin,code snippet injection
325,324,4,tx.origin,code snippet injection
353,352,4,tx.origin,code snippet injection
367,366,4,tx.origin,code snippet injection
375,374,4,tx.origin,code snippet injection
392,391,4,tx.origin,code snippet injection
424,423,4,tx.origin,code snippet injection
460,459,4,tx.origin,code snippet injection
478,477,4,tx.origin,code snippet injection
491,490,4,tx.origin,code snippet injection
504,503,3,tx.origin,code snippet injection
516,515,3,tx.origin,code snippet injection
578,577,4,tx.origin,code snippet injection
603,602,3,tx.origin,code snippet injection
629,628,4,tx.origin,code snippet injection
642,641,4,tx.origin,code snippet injection
655,654,4,tx.origin,code snippet injection
669,668,4,tx.origin,code snippet injection
691,690,3,tx.origin,code snippet injection
699,698,4,tx.origin,code snippet injection
724,723,3,tx.origin,code snippet injection
748,747,4,tx.origin,code snippet injection
773,772,3,tx.origin,code snippet injection
827,826,4,tx.origin,code snippet injection
838,837,4,tx.origin,code snippet injection
879,878,4,tx.origin,code snippet injection
894,893,4,tx.origin,code snippet injection
