line,loc,length,bug type,approach
268,267,4,tx.origin,code snippet injection
249,248,4,tx.origin,code snippet injection
238,237,4,tx.origin,code snippet injection
227,226,4,tx.origin,code snippet injection
217,216,3,tx.origin,code snippet injection
197,196,4,tx.origin,code snippet injection
186,185,3,tx.origin,code snippet injection
174,173,4,tx.origin,code snippet injection
162,161,3,tx.origin,code snippet injection
151,150,4,tx.origin,code snippet injection
143,142,4,tx.origin,code snippet injection
135,134,4,tx.origin,code snippet injection
126,125,4,tx.origin,code snippet injection
117,116,3,tx.origin,code snippet injection
108,107,4,tx.origin,code snippet injection
101,100,3,tx.origin,code snippet injection
256,255,3,tx.origin,code snippet injection
206,205,4,tx.origin,code snippet injection
91,90,4,tx.origin,code snippet injection
86,85,4,tx.origin,code snippet injection
78,77,4,tx.origin,code snippet injection
73,72,4,tx.origin,code snippet injection
