line,loc,length,bug type,approach
10,9,3,tx.origin,code snippet injection
15,14,4,tx.origin,code snippet injection
24,23,5,tx.origin,code snippet injection
38,37,4,tx.origin,code snippet injection
140,139,4,tx.origin,code snippet injection
146,145,4,tx.origin,code snippet injection
152,151,3,tx.origin,code snippet injection
156,155,4,tx.origin,code snippet injection
163,162,4,tx.origin,code snippet injection
168,167,4,tx.origin,code snippet injection
173,172,4,tx.origin,code snippet injection
179,178,3,tx.origin,code snippet injection
183,182,4,tx.origin,code snippet injection
188,187,4,tx.origin,code snippet injection
208,207,4,tx.origin,code snippet injection
222,221,4,tx.origin,code snippet injection
256,255,4,tx.origin,code snippet injection
268,267,4,tx.origin,code snippet injection
280,279,4,tx.origin,code snippet injection
300,299,4,tx.origin,code snippet injection
316,315,4,tx.origin,code snippet injection
326,325,4,tx.origin,code snippet injection
351,350,3,tx.origin,code snippet injection
363,362,3,tx.origin,code snippet injection
373,372,4,tx.origin,code snippet injection
382,381,3,tx.origin,code snippet injection
398,397,4,tx.origin,code snippet injection
409,408,4,tx.origin,code snippet injection
421,420,4,tx.origin,code snippet injection
437,436,4,tx.origin,code snippet injection
459,458,3,tx.origin,code snippet injection
479,478,4,tx.origin,code snippet injection
502,501,3,tx.origin,code snippet injection
542,541,4,tx.origin,code snippet injection
567,566,3,tx.origin,code snippet injection
581,580,4,tx.origin,code snippet injection
