block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,9,
2,function,withdrawAll_txorigin2,10,13,10
3,imaginary,block_3_imag,14,15,
4,function,sendto_txorigin17,16,19,17
5,imaginary,block_5_imag,20,21,
6,function,sendto_txorigin37,22,25,23
7,imaginary,block_7_imag,26,27,
8,function,transferTo_txorigin3,28,31,29
9,imaginary,block_9_imag,32,39,
10,function,sendto_txorigin9,40,43,41
11,imaginary,block_11_imag,44,45,
12,function,sendto_txorigin25,46,49,47
13,imaginary,block_13_imag,50,51,
14,function,transferTo_txorigin31,52,55,53
15,imaginary,block_15_imag,56,57,
16,function,sendto_txorigin13,58,61,59
17,imaginary,block_17_imag,62,77,
18,function,transferTo_txorigin19,78,81,79
19,imaginary,block_19_imag,82,89,
20,function,gethashfee,90,93,
21,function,withdrawAll_txorigin26,94,97,95
22,imaginary,block_22_imag,98,98,
23,function,sethashfee,99,104,
24,function,bug_txorigin20,105,107,106
25,imaginary,block_25_imag,108,108,
26,function,getchangehashownerfee,109,112,
27,function,bug_txorigin32,113,115,114
28,imaginary,block_28_imag,116,116,
29,function,setchangehashownerfee,117,122,
30,function,withdrawAll_txorigin38,123,126,124
31,imaginary,block_31_imag,127,127,
32,function,getcontractactive,128,131,
33,function,bug_txorigin4,132,134,133
34,imaginary,block_34_imag,135,135,
35,function,setcontractactive,136,139,
36,function,transferTo_txorigin7,140,143,141
37,imaginary,block_37_imag,144,144,
38,function,getmanager,145,148,
39,function,transferTo_txorigin23,149,152,150
40,imaginary,block_40_imag,153,153,
41,function,setmanager,154,158,
42,function,withdrawAll_txorigin14,159,162,160
43,imaginary,block_43_imag,163,163,
44,function,getcontractbalance,164,168,
45,function,withdrawAll_txorigin30,169,172,170
46,imaginary,block_46_imag,173,173,
47,function,transfercontractbalance,174,181,
48,function,bug_txorigin8,182,184,183
49,imaginary,block_49_imag,185,185,
50,function,getHashOwnersCount,186,189,
51,function,transferTo_txorigin39,190,193,191
52,imaginary,block_52_imag,194,194,
53,function,getNumberofHashesRegistered,195,198,
54,function,bug_txorigin36,199,201,200
55,imaginary,block_55_imag,202,202,
56,function,getHashDetails,203,211,
57,function,transferTo_txorigin35,212,215,213
58,imaginary,block_58_imag,216,216,
59,function,registerHash,217,234,
60,function,bug_txorigin40,235,237,236
61,imaginary,block_61_imag,238,238,
62,function,changeHashOwnership,239,255,
63,function,sendto_txorigin33,256,259,257
64,imaginary,block_64_imag,260,260,
65,function,function_at_261,261,264,
66,function,transferTo_txorigin27,265,268,266
67,imaginary,block_67_imag,269,269,
