line,loc,length,bug type,approach
159,154,13,TOD,code snippet injection
165,154,13,TOD,code snippet injection
143,138,13,TOD,code snippet injection
149,138,13,TOD,code snippet injection
127,122,13,TOD,code snippet injection
133,122,13,TOD,code snippet injection
422,417,13,TOD,code snippet injection
428,417,13,TOD,code snippet injection
388,381,18,TOD,code snippet injection
396,381,18,TOD,code snippet injection
358,353,13,TOD,code snippet injection
364,353,13,TOD,code snippet injection
323,316,18,TOD,code snippet injection
331,316,18,TOD,code snippet injection
293,288,13,TOD,code snippet injection
299,288,13,TOD,code snippet injection
261,254,18,TOD,code snippet injection
269,254,18,TOD,code snippet injection
230,223,18,TOD,code snippet injection
238,223,18,TOD,code snippet injection
191,184,18,TOD,code snippet injection
199,184,18,TOD,code snippet injection
111,106,13,TOD,code snippet injection
117,106,13,TOD,code snippet injection
97,92,13,TOD,code snippet injection
103,92,13,TOD,code snippet injection
78,71,18,TOD,code snippet injection
86,71,18,TOD,code snippet injection
58,51,18,TOD,code snippet injection
66,51,18,TOD,code snippet injection
39,32,18,TOD,code snippet injection
47,32,18,TOD,code snippet injection
20,13,18,TOD,code snippet injection
28,13,18,TOD,code snippet injection
