line,loc,length,bug type,approach
517,512,13,TOD,code snippet injection
523,512,13,TOD,code snippet injection
474,469,13,TOD,code snippet injection
480,469,13,TOD,code snippet injection
454,449,13,TOD,code snippet injection
460,449,13,TOD,code snippet injection
434,429,13,TOD,code snippet injection
440,429,13,TOD,code snippet injection
411,404,18,TOD,code snippet injection
419,404,18,TOD,code snippet injection
366,361,13,TOD,code snippet injection
372,361,13,TOD,code snippet injection
342,335,18,TOD,code snippet injection
350,335,18,TOD,code snippet injection
319,314,13,TOD,code snippet injection
325,314,13,TOD,code snippet injection
294,287,18,TOD,code snippet injection
302,287,18,TOD,code snippet injection
269,262,18,TOD,code snippet injection
277,262,18,TOD,code snippet injection
247,240,18,TOD,code snippet injection
255,240,18,TOD,code snippet injection
228,223,13,TOD,code snippet injection
234,223,13,TOD,code snippet injection
210,205,13,TOD,code snippet injection
216,205,13,TOD,code snippet injection
188,181,18,TOD,code snippet injection
196,181,18,TOD,code snippet injection
165,158,18,TOD,code snippet injection
173,158,18,TOD,code snippet injection
143,136,18,TOD,code snippet injection
151,136,18,TOD,code snippet injection
492,485,18,TOD,code snippet injection
500,485,18,TOD,code snippet injection
386,379,18,TOD,code snippet injection
394,379,18,TOD,code snippet injection
122,117,13,TOD,code snippet injection
128,117,13,TOD,code snippet injection
108,103,13,TOD,code snippet injection
114,103,13,TOD,code snippet injection
91,86,13,TOD,code snippet injection
97,86,13,TOD,code snippet injection
77,72,13,TOD,code snippet injection
83,72,13,TOD,code snippet injection
