line,loc,length,bug type,approach
759,754,13,TOD,code snippet injection
765,754,13,TOD,code snippet injection
733,728,13,TOD,code snippet injection
739,728,13,TOD,code snippet injection
713,708,13,TOD,code snippet injection
719,708,13,TOD,code snippet injection
693,688,13,TOD,code snippet injection
699,688,13,TOD,code snippet injection
670,663,18,TOD,code snippet injection
678,663,18,TOD,code snippet injection
593,588,13,TOD,code snippet injection
599,588,13,TOD,code snippet injection
568,561,18,TOD,code snippet injection
576,561,18,TOD,code snippet injection
534,529,13,TOD,code snippet injection
540,529,13,TOD,code snippet injection
505,498,18,TOD,code snippet injection
513,498,18,TOD,code snippet injection
473,466,18,TOD,code snippet injection
481,466,18,TOD,code snippet injection
441,434,18,TOD,code snippet injection
449,434,18,TOD,code snippet injection
411,406,13,TOD,code snippet injection
417,406,13,TOD,code snippet injection
384,379,13,TOD,code snippet injection
390,379,13,TOD,code snippet injection
353,346,18,TOD,code snippet injection
361,346,18,TOD,code snippet injection
320,313,18,TOD,code snippet injection
328,313,18,TOD,code snippet injection
288,281,18,TOD,code snippet injection
296,281,18,TOD,code snippet injection
256,249,18,TOD,code snippet injection
264,249,18,TOD,code snippet injection
228,221,18,TOD,code snippet injection
236,221,18,TOD,code snippet injection
203,198,13,TOD,code snippet injection
209,198,13,TOD,code snippet injection
181,176,13,TOD,code snippet injection
187,176,13,TOD,code snippet injection
648,643,13,TOD,code snippet injection
654,643,13,TOD,code snippet injection
634,629,13,TOD,code snippet injection
640,629,13,TOD,code snippet injection
620,615,13,TOD,code snippet injection
626,615,13,TOD,code snippet injection
160,155,13,TOD,code snippet injection
166,155,13,TOD,code snippet injection
142,135,18,TOD,code snippet injection
150,135,18,TOD,code snippet injection
125,120,13,TOD,code snippet injection
131,120,13,TOD,code snippet injection
