line,loc,length,bug type,approach
509,504,13,TOD,code snippet injection
515,504,13,TOD,code snippet injection
495,490,13,TOD,code snippet injection
501,490,13,TOD,code snippet injection
481,476,13,TOD,code snippet injection
487,476,13,TOD,code snippet injection
119,114,13,TOD,code snippet injection
125,114,13,TOD,code snippet injection
102,95,18,TOD,code snippet injection
110,95,18,TOD,code snippet injection
86,81,13,TOD,code snippet injection
92,81,13,TOD,code snippet injection
69,62,18,TOD,code snippet injection
77,62,18,TOD,code snippet injection
634,629,13,TOD,code snippet injection
640,629,13,TOD,code snippet injection
608,601,18,TOD,code snippet injection
616,601,18,TOD,code snippet injection
576,569,18,TOD,code snippet injection
584,569,18,TOD,code snippet injection
548,541,18,TOD,code snippet injection
556,541,18,TOD,code snippet injection
528,523,13,TOD,code snippet injection
534,523,13,TOD,code snippet injection
430,425,13,TOD,code snippet injection
436,425,13,TOD,code snippet injection
408,401,18,TOD,code snippet injection
416,401,18,TOD,code snippet injection
384,377,18,TOD,code snippet injection
392,377,18,TOD,code snippet injection
359,352,18,TOD,code snippet injection
367,352,18,TOD,code snippet injection
334,327,18,TOD,code snippet injection
342,327,18,TOD,code snippet injection
311,304,18,TOD,code snippet injection
319,304,18,TOD,code snippet injection
291,286,13,TOD,code snippet injection
297,286,13,TOD,code snippet injection
273,268,13,TOD,code snippet injection
279,268,13,TOD,code snippet injection
255,250,13,TOD,code snippet injection
261,250,13,TOD,code snippet injection
237,232,13,TOD,code snippet injection
243,232,13,TOD,code snippet injection
219,214,13,TOD,code snippet injection
225,214,13,TOD,code snippet injection
183,178,13,TOD,code snippet injection
189,178,13,TOD,code snippet injection
162,155,18,TOD,code snippet injection
170,155,18,TOD,code snippet injection
142,137,13,TOD,code snippet injection
148,137,13,TOD,code snippet injection
466,461,13,TOD,code snippet injection
472,461,13,TOD,code snippet injection
449,442,18,TOD,code snippet injection
457,442,18,TOD,code snippet injection
49,42,18,TOD,code snippet injection
57,42,18,TOD,code snippet injection
30,23,18,TOD,code snippet injection
38,23,18,TOD,code snippet injection
14,9,13,TOD,code snippet injection
20,9,13,TOD,code snippet injection
