line,loc,length,bug type,approach
823,818,13,TOD,code snippet injection
829,818,13,TOD,code snippet injection
804,799,13,TOD,code snippet injection
810,799,13,TOD,code snippet injection
775,770,13,TOD,code snippet injection
781,770,13,TOD,code snippet injection
754,749,13,TOD,code snippet injection
760,749,13,TOD,code snippet injection
729,724,18,TOD,code snippet injection
737,724,18,TOD,code snippet injection
657,652,13,TOD,code snippet injection
663,652,13,TOD,code snippet injection
628,623,18,TOD,code snippet injection
636,623,18,TOD,code snippet injection
594,589,13,TOD,code snippet injection
600,589,13,TOD,code snippet injection
557,552,18,TOD,code snippet injection
565,552,18,TOD,code snippet injection
522,517,18,TOD,code snippet injection
530,517,18,TOD,code snippet injection
481,476,18,TOD,code snippet injection
489,476,18,TOD,code snippet injection
449,444,13,TOD,code snippet injection
455,444,13,TOD,code snippet injection
419,414,13,TOD,code snippet injection
425,414,13,TOD,code snippet injection
383,378,18,TOD,code snippet injection
391,378,18,TOD,code snippet injection
353,348,18,TOD,code snippet injection
361,348,18,TOD,code snippet injection
328,323,18,TOD,code snippet injection
336,323,18,TOD,code snippet injection
297,292,18,TOD,code snippet injection
305,292,18,TOD,code snippet injection
272,267,18,TOD,code snippet injection
280,267,18,TOD,code snippet injection
704,699,13,TOD,code snippet injection
710,699,13,TOD,code snippet injection
690,685,13,TOD,code snippet injection
696,685,13,TOD,code snippet injection
676,671,13,TOD,code snippet injection
682,671,13,TOD,code snippet injection
251,246,13,TOD,code snippet injection
257,246,13,TOD,code snippet injection
236,231,13,TOD,code snippet injection
242,231,13,TOD,code snippet injection
221,216,13,TOD,code snippet injection
227,216,13,TOD,code snippet injection
