line,loc,length,bug type,approach
131,126,13,TOD,code snippet injection
137,126,13,TOD,code snippet injection
116,111,13,TOD,code snippet injection
122,111,13,TOD,code snippet injection
547,542,13,TOD,code snippet injection
553,542,13,TOD,code snippet injection
529,524,13,TOD,code snippet injection
535,524,13,TOD,code snippet injection
493,488,18,TOD,code snippet injection
501,488,18,TOD,code snippet injection
461,456,13,TOD,code snippet injection
467,456,13,TOD,code snippet injection
433,428,18,TOD,code snippet injection
441,428,18,TOD,code snippet injection
415,410,13,TOD,code snippet injection
421,410,13,TOD,code snippet injection
392,387,18,TOD,code snippet injection
400,387,18,TOD,code snippet injection
365,360,18,TOD,code snippet injection
373,360,18,TOD,code snippet injection
341,336,18,TOD,code snippet injection
349,336,18,TOD,code snippet injection
322,317,13,TOD,code snippet injection
328,317,13,TOD,code snippet injection
304,299,13,TOD,code snippet injection
310,299,13,TOD,code snippet injection
281,276,18,TOD,code snippet injection
289,276,18,TOD,code snippet injection
258,253,18,TOD,code snippet injection
266,253,18,TOD,code snippet injection
233,228,18,TOD,code snippet injection
241,228,18,TOD,code snippet injection
210,205,18,TOD,code snippet injection
218,205,18,TOD,code snippet injection
185,180,18,TOD,code snippet injection
193,180,18,TOD,code snippet injection
160,155,13,TOD,code snippet injection
166,155,13,TOD,code snippet injection
101,96,13,TOD,code snippet injection
107,96,13,TOD,code snippet injection
86,81,13,TOD,code snippet injection
92,81,13,TOD,code snippet injection
65,60,13,TOD,code snippet injection
71,60,13,TOD,code snippet injection
50,45,13,TOD,code snippet injection
56,45,13,TOD,code snippet injection
35,30,13,TOD,code snippet injection
41,30,13,TOD,code snippet injection
15,10,18,TOD,code snippet injection
23,10,18,TOD,code snippet injection
