line,loc,length,bug type,approach
163,158,13,TOD,code snippet injection
169,158,13,TOD,code snippet injection
147,142,13,TOD,code snippet injection
153,142,13,TOD,code snippet injection
131,126,13,TOD,code snippet injection
137,126,13,TOD,code snippet injection
426,421,13,TOD,code snippet injection
432,421,13,TOD,code snippet injection
390,385,18,TOD,code snippet injection
398,385,18,TOD,code snippet injection
362,357,13,TOD,code snippet injection
368,357,13,TOD,code snippet injection
325,320,18,TOD,code snippet injection
333,320,18,TOD,code snippet injection
297,292,13,TOD,code snippet injection
303,292,13,TOD,code snippet injection
263,258,18,TOD,code snippet injection
271,258,18,TOD,code snippet injection
232,227,18,TOD,code snippet injection
240,227,18,TOD,code snippet injection
193,188,18,TOD,code snippet injection
201,188,18,TOD,code snippet injection
115,110,13,TOD,code snippet injection
121,110,13,TOD,code snippet injection
101,96,13,TOD,code snippet injection
107,96,13,TOD,code snippet injection
80,75,18,TOD,code snippet injection
88,75,18,TOD,code snippet injection
60,55,18,TOD,code snippet injection
68,55,18,TOD,code snippet injection
41,36,18,TOD,code snippet injection
49,36,18,TOD,code snippet injection
22,17,18,TOD,code snippet injection
30,17,18,TOD,code snippet injection
