block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,28,
2,function,bug_tmstmp4,29,37,29
3,imaginary,block_3_imag,38,39,39
4,function,play_tmstmp7,40,43,
5,imaginary,block_5_imag,44,45,45
6,function,play_tmstmp23,46,49,
7,imaginary,block_7_imag,50,52,52
8,function,play_tmstmp14,53,55,
9,imaginary,block_9_imag,56,57,57
10,function,play_tmstmp30,58,60,
11,imaginary,block_11_imag,61,61,
12,function,bug_tmstmp8,62,70,62
13,imaginary,block_13_imag,71,73,73
14,function,play_tmstmp39,74,77,
15,imaginary,block_15_imag,78,78,
16,function,bug_tmstmp36,79,87,79
17,imaginary,block_17_imag,88,90,90
18,function,play_tmstmp35,91,94,
19,imaginary,block_19_imag,95,95,
20,function,bug_tmstmp40,96,104,96
21,imaginary,block_21_imag,105,105,
22,function,bug_tmstmp33,106,108,106
23,imaginary,block_23_imag,109,110,110
24,function,play_tmstmp27,111,114,
25,imaginary,block_25_imag,115,144,"121,144"
26,function,play_tmstmp31,145,148,
27,imaginary,block_27_imag,149,149,
28,function,totalSupply,150,152,
29,function,bug_tmstmp13,153,155,153
30,imaginary,block_30_imag,156,156,
31,function,balanceOf,157,159,
32,imaginary,block_32_imag,160,161,160
33,function,transfer,162,184,
34,imaginary,block_34_imag,185,186,185
35,function,burnCoins,187,195,
36,imaginary,block_36_imag,196,198,196
37,function,toWei,199,204,
38,imaginary,block_38_imag,205,206,205
