block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,29,
2,function,add,30,35,
3,imaginary,block_3_imag,36,45,
4,function,sub,46,51,
5,imaginary,block_5_imag,52,61,
6,function,mul,62,74,
7,imaginary,block_7_imag,75,79,
8,function,uses,80,94,
9,imaginary,block_9_imag,95,99,
10,function,uses,100,110,
11,imaginary,block_11_imag,111,216,216
12,function,play_tmstmp19,217,220,
13,imaginary,block_13_imag,221,223,223
14,function,play_tmstmp26,224,226,
15,imaginary,block_15_imag,227,228,
16,function,bug_tmstmp20,229,237,229
17,imaginary,block_17_imag,238,242,
18,function,totalSupply,243,245,
19,imaginary,block_19_imag,246,246,246
20,function,play_tmstmp7,247,250,
21,imaginary,block_21_imag,251,254,
22,function,balanceOf,255,257,
23,imaginary,block_23_imag,258,258,258
24,function,play_tmstmp23,259,262,
25,imaginary,block_25_imag,263,271,
26,function,transfer,272,275,
27,imaginary,block_27_imag,276,276,276
28,function,play_tmstmp14,277,279,
29,imaginary,block_29_imag,280,283,
30,function,allowance,284,286,
31,imaginary,block_31_imag,287,287,287
32,function,play_tmstmp30,288,290,
33,imaginary,block_33_imag,291,298,
34,function,approve,299,302,
35,function,bug_tmstmp8,303,311,303
36,imaginary,block_36_imag,312,324,
37,function,transferFrom,325,329,
38,imaginary,block_38_imag,330,330,330
39,function,play_tmstmp39,331,334,
40,imaginary,block_40_imag,335,347,
41,function,increaseAllowance,348,351,
42,function,bug_tmstmp36,352,360,352
43,imaginary,block_43_imag,361,375,
44,function,decreaseAllowance,376,379,
45,imaginary,block_45_imag,380,380,380
46,function,play_tmstmp35,381,384,
47,imaginary,block_47_imag,385,388,
48,function,is,389,407,
49,function,bug_tmstmp40,408,416,408
50,imaginary,block_50_imag,417,426,
51,function,_mint,427,433,
52,function,bug_tmstmp33,434,436,434
53,imaginary,block_53_imag,437,448,
54,function,_burn,449,455,
55,imaginary,block_55_imag,456,456,456
56,function,play_tmstmp27,457,460,
57,imaginary,block_57_imag,461,464,
58,function,is,465,481,
59,imaginary,block_59_imag,482,482,482
60,function,play_tmstmp31,483,486,
61,imaginary,block_61_imag,487,493,
62,function,_burnFrom,494,497,
63,function,bug_tmstmp13,498,500,498
64,imaginary,block_64_imag,501,506,
65,function,bug_tmstmp32,507,515,507
66,imaginary,block_66_imag,516,517,517
67,function,play_tmstmp38,518,520,
68,imaginary,block_68_imag,521,521,
69,function,bug_tmstmp4,522,530,522
70,imaginary,block_70_imag,531,547,543
71,function,name,548,550,
72,imaginary,block_72_imag,551,556,551
73,function,symbol,557,559,
74,imaginary,block_74_imag,560,573,560
75,function,decimals,574,576,
76,imaginary,block_76_imag,577,585,"577,584"
