block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,9,
2,function,bug_tmstmp9,10,12,10
3,imaginary,block_3_imag,13,14,
4,function,bug_tmstmp25,15,17,15
5,imaginary,block_5_imag,18,20,20
6,function,play_tmstmp19,21,24,
7,imaginary,block_7_imag,25,27,27
8,function,play_tmstmp26,28,30,
9,imaginary,block_9_imag,31,38,
10,function,bug_tmstmp20,39,47,39
11,imaginary,block_11_imag,48,49,
12,function,bug_tmstmp32,50,58,50
13,imaginary,block_13_imag,59,81,"61,64,81"
14,function,play_tmstmp38,82,84,
15,imaginary,block_15_imag,85,93,91
16,function,gethashfee,94,97,
17,function,bug_tmstmp4,98,106,98
18,imaginary,block_18_imag,107,107,
19,function,sethashfee,108,113,
20,imaginary,block_20_imag,114,114,114
21,function,play_tmstmp7,115,118,
22,imaginary,block_22_imag,119,119,
23,function,getchangehashownerfee,120,123,
24,imaginary,block_24_imag,124,124,124
25,function,play_tmstmp23,125,128,
26,imaginary,block_26_imag,129,129,
27,function,setchangehashownerfee,130,135,
28,imaginary,block_28_imag,136,136,136
29,function,play_tmstmp14,137,139,
30,imaginary,block_30_imag,140,140,
31,function,getcontractactive,141,144,
32,imaginary,block_32_imag,145,145,145
33,function,play_tmstmp30,146,148,
34,imaginary,block_34_imag,149,149,
35,function,setcontractactive,150,153,
36,function,bug_tmstmp8,154,162,154
37,imaginary,block_37_imag,163,163,
38,function,getmanager,164,167,
39,imaginary,block_39_imag,168,168,168
40,function,play_tmstmp39,169,172,
41,imaginary,block_41_imag,173,173,
42,function,setmanager,174,178,
43,function,bug_tmstmp36,179,187,179
44,imaginary,block_44_imag,188,188,
45,function,getcontractbalance,189,193,
46,imaginary,block_46_imag,194,194,194
47,function,play_tmstmp35,195,198,
48,imaginary,block_48_imag,199,199,
49,function,transfercontractbalance,200,207,
50,function,bug_tmstmp40,208,216,208
51,imaginary,block_51_imag,217,217,
52,function,getHashOwnersCount,218,221,
53,function,bug_tmstmp33,222,224,222
54,imaginary,block_54_imag,225,225,
55,function,getNumberofHashesRegistered,226,229,
56,imaginary,block_56_imag,230,230,230
57,function,play_tmstmp27,231,234,
58,imaginary,block_58_imag,235,235,
59,function,getHashDetails,236,244,
60,imaginary,block_60_imag,245,245,245
61,function,play_tmstmp31,246,249,
62,imaginary,block_62_imag,250,250,
63,function,registerHash,251,268,
64,function,bug_tmstmp13,269,271,269
65,imaginary,block_65_imag,272,272,
66,function,changeHashOwnership,273,289,
67,imaginary,block_67_imag,290,291,290
68,function,function_at_292,292,295,
69,imaginary,block_69_imag,296,297,296
