block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,5,5
2,function,play_tmstmp7,6,9,
3,imaginary,block_3_imag,10,11,11
4,function,play_tmstmp23,12,15,
5,imaginary,block_5_imag,16,17,17
6,function,play_tmstmp14,18,20,
7,imaginary,block_7_imag,21,22,22
8,function,play_tmstmp30,23,25,
9,imaginary,block_9_imag,26,28,
10,function,mul,29,36,
11,imaginary,block_11_imag,37,37,
12,function,div,38,42,
13,imaginary,block_13_imag,43,43,
14,function,sub,44,48,
15,imaginary,block_15_imag,49,49,
16,function,add,50,55,
17,imaginary,block_17_imag,56,64,62
18,function,bug_tmstmp37,65,67,65
19,imaginary,block_19_imag,68,70,70
20,function,play_tmstmp3,71,74,
21,imaginary,block_21_imag,75,76,
22,function,bug_tmstmp9,77,79,77
23,imaginary,block_23_imag,80,81,
24,function,bug_tmstmp25,82,84,82
25,imaginary,block_25_imag,85,113,
26,function,bug_tmstmp8,114,122,114
27,imaginary,block_27_imag,123,125,125
28,function,play_tmstmp19,126,129,
29,imaginary,block_29_imag,130,132,132
30,function,play_tmstmp26,133,135,
31,imaginary,block_31_imag,136,137,
32,function,bug_tmstmp20,138,146,138
33,imaginary,block_33_imag,147,148,
34,function,bug_tmstmp32,149,157,149
35,imaginary,block_35_imag,158,160,160
36,function,play_tmstmp38,161,163,
37,imaginary,block_37_imag,164,165,
38,function,bug_tmstmp4,166,174,166
39,imaginary,block_39_imag,175,182,181
40,function,setDexStatus,183,187,
41,imaginary,block_41_imag,188,188,188
42,function,play_tmstmp39,189,192,
43,imaginary,block_43_imag,193,193,
44,function,addToken,194,200,
45,function,bug_tmstmp36,201,209,201
46,imaginary,block_46_imag,210,210,
47,function,deposit,211,216,
48,imaginary,block_48_imag,217,217,217
49,function,play_tmstmp35,218,221,
50,imaginary,block_50_imag,222,222,
51,function,tokenDeposit,223,232,
52,function,bug_tmstmp40,233,241,233
53,imaginary,block_53_imag,242,242,
54,function,withdraw,243,263,
55,function,bug_tmstmp33,264,266,264
56,imaginary,block_56_imag,267,267,
57,function,adminProfitWithdraw,268,284,
58,imaginary,block_58_imag,285,285,285
59,function,play_tmstmp27,286,289,
60,imaginary,block_60_imag,290,291,
61,function,setwithdrawfee,292,301,
62,imaginary,block_62_imag,302,302,302
63,function,play_tmstmp31,303,306,
64,imaginary,block_64_imag,307,309,
65,function,verify,310,349,
66,imaginary,block_66_imag,350,354,
67,function,makeOrder,355,453,
68,function,bug_tmstmp13,454,456,454
69,imaginary,block_69_imag,457,457,
70,function,cancelOrder,458,469,
71,imaginary,block_71_imag,470,472,470
72,function,viewTokenBalance,473,475,
73,imaginary,block_73_imag,476,477,476
74,function,tokenallowance,478,480,
75,imaginary,block_75_imag,481,483,481
