block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,19,
2,function,mul,20,27,
3,imaginary,block_3_imag,28,28,
4,function,div,29,32,
5,imaginary,block_5_imag,33,33,
6,function,sub,34,37,
7,imaginary,block_7_imag,38,38,
8,function,add,39,43,
9,imaginary,block_9_imag,44,44,
10,function,ceil,45,49,
11,imaginary,block_11_imag,50,53,
12,function,bug_tmstmp17,54,56,54
13,imaginary,block_13_imag,57,57,
14,function,bug_tmstmp37,58,60,58
15,imaginary,block_15_imag,61,62,62
16,function,play_tmstmp3,63,66,
17,imaginary,block_17_imag,67,73,
18,function,bug_tmstmp4,74,82,74
19,imaginary,block_19_imag,83,83,
20,function,name,84,86,
21,imaginary,block_21_imag,87,87,87
22,function,play_tmstmp7,88,91,
23,imaginary,block_23_imag,92,92,
24,function,symbol,93,95,
25,imaginary,block_25_imag,96,96,96
26,function,play_tmstmp23,97,100,
27,imaginary,block_27_imag,101,101,
28,function,decimals,102,104,
29,imaginary,block_29_imag,105,105,105
30,function,play_tmstmp14,106,108,
31,imaginary,block_31_imag,109,113,
32,function,bug_tmstmp9,114,116,114
33,imaginary,block_33_imag,117,117,
34,function,bug_tmstmp25,118,120,118
35,imaginary,block_35_imag,121,123,123
36,function,play_tmstmp19,124,127,
37,imaginary,block_37_imag,128,129,129
38,function,play_tmstmp26,130,132,
39,imaginary,block_39_imag,133,133,
40,function,bug_tmstmp20,134,142,134
41,imaginary,block_41_imag,143,143,
42,function,bug_tmstmp32,144,152,144
43,imaginary,block_43_imag,153,154,154
44,function,play_tmstmp38,155,157,
45,imaginary,block_45_imag,158,163,163
46,function,play_tmstmp30,164,166,
47,imaginary,block_47_imag,167,167,
48,function,totalSupply,168,170,
49,function,bug_tmstmp8,171,179,171
50,imaginary,block_50_imag,180,180,
51,function,balanceOf,181,183,
52,imaginary,block_52_imag,184,184,184
53,function,play_tmstmp39,185,188,
54,imaginary,block_54_imag,189,189,
55,function,allowance,190,192,
56,function,bug_tmstmp36,193,201,193
57,imaginary,block_57_imag,202,202,
58,function,findfourPercent,203,207,
59,imaginary,block_59_imag,208,208,208
60,function,play_tmstmp35,209,212,
61,imaginary,block_61_imag,213,213,
62,function,transfer,214,229,
63,function,bug_tmstmp40,230,238,230
64,imaginary,block_64_imag,239,239,
65,function,multiTransfer,240,244,
66,function,bug_tmstmp33,245,247,245
67,imaginary,block_67_imag,248,248,
68,function,approve,249,254,
69,imaginary,block_69_imag,255,255,255
70,function,play_tmstmp27,256,259,
71,imaginary,block_71_imag,260,260,
72,function,transferFrom,261,280,
73,imaginary,block_73_imag,281,281,281
74,function,play_tmstmp31,282,285,
75,imaginary,block_75_imag,286,286,
76,function,increaseAllowance,287,292,
77,function,bug_tmstmp13,293,295,293
78,imaginary,block_78_imag,296,296,
79,function,decreaseAllowance,297,302,
80,imaginary,block_80_imag,303,304,303
81,function,_mint,305,309,
82,imaginary,block_82_imag,310,311,310
83,function,burn,312,314,
84,imaginary,block_84_imag,315,316,315
85,function,_burn,317,323,
86,imaginary,block_86_imag,324,325,324
87,function,burnFrom,326,330,
88,imaginary,block_88_imag,331,332,331
