block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,14,"8,10,12"
2,function,bug_tmstmp32,15,23,15
3,imaginary,block_3_imag,24,25,25
4,function,play_tmstmp38,26,28,
5,imaginary,block_5_imag,29,29,
6,function,bug_tmstmp4,30,38,30
7,imaginary,block_7_imag,39,40,40
8,function,play_tmstmp7,41,44,
9,imaginary,block_9_imag,45,46,46
10,function,play_tmstmp23,47,50,
11,imaginary,block_11_imag,51,53,53
12,function,play_tmstmp14,54,56,
13,imaginary,block_13_imag,57,58,58
14,function,play_tmstmp30,59,61,
15,imaginary,block_15_imag,62,64,
16,function,bug_tmstmp8,65,73,65
17,imaginary,block_17_imag,74,96,96
18,function,play_tmstmp39,97,100,
19,imaginary,block_19_imag,101,102,
20,function,transfer,103,121,
21,function,bug_tmstmp36,122,130,122
22,imaginary,block_22_imag,131,132,
23,function,transferFrom,133,154,
24,imaginary,block_24_imag,155,155,155
25,function,play_tmstmp35,156,159,
26,imaginary,block_26_imag,160,160,
27,function,approve,161,167,
28,function,bug_tmstmp40,168,176,168
29,imaginary,block_29_imag,177,177,
30,function,allowance,178,183,
31,function,bug_tmstmp33,184,186,184
32,imaginary,block_32_imag,187,187,
33,function,balanceOf,188,190,
34,imaginary,block_34_imag,191,191,191
35,function,play_tmstmp27,192,195,
36,imaginary,block_36_imag,196,198,
37,function,changeOwner,199,205,
38,imaginary,block_38_imag,206,206,206
39,function,play_tmstmp31,207,210,
40,imaginary,block_40_imag,211,212,
41,function,setPauseStatus,213,216,
42,function,bug_tmstmp13,217,219,217
43,imaginary,block_43_imag,220,221,
44,function,changeContractName,222,226,
45,imaginary,block_45_imag,227,229,227
46,function,function_at_230,230,232,
47,imaginary,block_47_imag,233,234,233
