block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,25,
2,function,safeAdd,26,29,
3,function,bug_tmstmp37,30,32,30
4,function,safeSub,33,36,
5,imaginary,block_5_imag,37,37,37
6,function,play_tmstmp3,38,41,
7,function,safeMul,42,45,
8,function,bug_tmstmp9,46,48,46
9,function,safeDiv,49,52,
10,function,bug_tmstmp25,53,55,53
11,imaginary,block_11_imag,56,65,65
12,function,play_tmstmp19,66,69,
13,imaginary,block_13_imag,70,71,71
14,function,play_tmstmp26,72,74,
15,imaginary,block_15_imag,75,75,
16,function,bug_tmstmp20,76,84,76
17,imaginary,block_17_imag,85,85,
18,function,bug_tmstmp32,86,94,86
19,imaginary,block_19_imag,95,96,96
20,function,play_tmstmp38,97,99,
21,imaginary,block_21_imag,100,100,
22,function,bug_tmstmp4,101,109,101
23,imaginary,block_23_imag,110,118,"111,113"
24,function,to,119,130,125
25,imaginary,block_25_imag,131,136,
26,function,bug_tmstmp21,137,139,137
27,imaginary,block_27_imag,140,141,141
28,function,play_tmstmp10,142,144,
29,imaginary,block_29_imag,145,153,"147,153"
30,function,play_tmstmp23,154,157,
31,imaginary,block_31_imag,158,164,163
32,function,transferOwnership,165,167,
33,imaginary,block_33_imag,168,168,168
34,function,play_tmstmp14,169,171,
35,function,acceptOwnership,172,177,
36,imaginary,block_36_imag,178,178,178
37,function,play_tmstmp30,179,181,
38,imaginary,block_38_imag,182,190,190
39,function,play_tmstmp22,191,193,
40,imaginary,block_40_imag,194,194,
41,function,bug_tmstmp12,195,203,195
42,imaginary,block_42_imag,204,205,205
43,function,play_tmstmp11,206,209,
44,imaginary,block_44_imag,210,210,
45,function,bug_tmstmp1,211,213,211
46,imaginary,block_46_imag,214,216,216
47,function,play_tmstmp2,217,219,
48,imaginary,block_48_imag,220,220,
49,function,bug_tmstmp17,221,223,221
50,imaginary,block_50_imag,224,237,
51,function,bug_tmstmp8,238,246,238
52,imaginary,block_52_imag,247,251,
53,function,totalSupply,252,254,
54,imaginary,block_54_imag,255,255,255
55,function,play_tmstmp39,256,259,
56,imaginary,block_56_imag,260,264,
57,function,balanceOf,265,267,
58,function,bug_tmstmp36,268,276,268
59,imaginary,block_59_imag,277,283,
60,function,transfer,284,289,
61,imaginary,block_61_imag,290,290,290
62,function,play_tmstmp35,291,294,
63,imaginary,block_63_imag,295,304,
64,function,approve,305,309,
65,function,bug_tmstmp40,310,318,310
66,imaginary,block_66_imag,319,329,
67,function,transferFrom,330,336,
68,function,bug_tmstmp33,337,339,337
69,imaginary,block_69_imag,340,345,
70,function,allowance,346,348,
71,imaginary,block_71_imag,349,349,349
72,function,play_tmstmp27,350,353,
73,imaginary,block_73_imag,354,357,
74,function,approveAndCall,358,366,
75,imaginary,block_75_imag,367,367,367
76,function,play_tmstmp31,368,371,
77,imaginary,block_77_imag,372,376,
78,function,function_at_377,377,379,
79,function,bug_tmstmp13,380,382,380
80,imaginary,block_80_imag,383,387,
81,function,transferAnyERC20Token,388,390,
82,imaginary,block_82_imag,391,394,391
