block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,8,
2,function,add,9,12,
3,function,sub,13,16,
4,function,mul,17,20,
5,function,div,21,24,
6,imaginary,block_6_imag,25,29,29
7,function,play_tmstmp19,30,33,
8,imaginary,block_8_imag,34,35,35
9,function,play_tmstmp26,36,38,
10,imaginary,block_10_imag,39,39,
11,function,bug_tmstmp20,40,48,40
12,imaginary,block_12_imag,49,49,
13,function,bug_tmstmp32,50,58,50
14,imaginary,block_14_imag,59,60,60
15,function,play_tmstmp38,61,63,
16,imaginary,block_16_imag,64,64,
17,function,bug_tmstmp4,65,73,65
18,imaginary,block_18_imag,74,84,"75,77,84"
19,function,play_tmstmp7,85,88,
20,imaginary,block_20_imag,89,93,93
21,function,play_tmstmp11,94,97,
22,imaginary,block_22_imag,98,98,
23,function,bug_tmstmp1,99,101,99
24,imaginary,block_24_imag,102,110,"104,110"
25,function,play_tmstmp23,111,114,
26,imaginary,block_26_imag,115,121,120
27,function,transferOwnership,122,124,
28,imaginary,block_28_imag,125,125,125
29,function,play_tmstmp14,126,128,
30,function,acceptOwnership,129,134,
31,imaginary,block_31_imag,135,135,135
32,function,play_tmstmp30,136,138,
33,imaginary,block_33_imag,139,145,145
34,function,play_tmstmp2,146,148,
35,imaginary,block_35_imag,149,149,
36,function,bug_tmstmp17,150,152,150
37,imaginary,block_37_imag,153,153,
38,function,bug_tmstmp37,154,156,154
39,imaginary,block_39_imag,157,158,158
40,function,play_tmstmp3,159,162,
41,imaginary,block_41_imag,163,165,
42,function,bug_tmstmp9,166,168,166
43,imaginary,block_43_imag,169,169,
44,function,bug_tmstmp25,170,172,170
45,imaginary,block_45_imag,173,187,
46,function,bug_tmstmp8,188,196,188
47,imaginary,block_47_imag,197,201,
48,function,totalSupply,202,204,
49,imaginary,block_49_imag,205,205,205
50,function,play_tmstmp39,206,209,
51,imaginary,block_51_imag,210,214,
52,function,balanceOf,215,217,
53,function,bug_tmstmp36,218,226,218
54,imaginary,block_54_imag,227,233,
55,function,transfer,234,239,
56,imaginary,block_56_imag,240,240,240
57,function,play_tmstmp35,241,244,
58,imaginary,block_58_imag,245,254,
59,function,approve,255,259,
60,function,bug_tmstmp40,260,268,260
61,imaginary,block_61_imag,269,279,
62,function,transferFrom,280,286,
63,function,bug_tmstmp33,287,289,287
64,imaginary,block_64_imag,290,295,
65,function,allowance,296,298,
66,imaginary,block_66_imag,299,299,299
67,function,play_tmstmp27,300,303,
68,imaginary,block_68_imag,304,307,
69,function,approveAndCall,308,316,
70,imaginary,block_70_imag,317,317,317
71,function,play_tmstmp31,318,321,
72,imaginary,block_72_imag,322,326,
73,function,function_at_327,327,329,
74,function,bug_tmstmp13,330,332,330
75,imaginary,block_75_imag,333,337,
76,function,transferAnyERC20Token,338,340,
77,imaginary,block_77_imag,341,342,341
