block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,23,
2,function,sub,24,29,
3,imaginary,block_3_imag,30,33,
4,function,add,34,39,
5,imaginary,block_5_imag,40,48,
6,function,bug_tmstmp8,49,57,49
7,imaginary,block_7_imag,58,59,59
8,function,play_tmstmp39,60,63,
9,imaginary,block_9_imag,64,64,
10,function,bug_tmstmp36,65,73,65
11,imaginary,block_11_imag,74,75,75
12,function,play_tmstmp35,76,79,
13,imaginary,block_13_imag,80,80,
14,function,bug_tmstmp40,81,89,81
15,imaginary,block_15_imag,90,98,
16,function,bug_tmstmp32,99,107,99
17,imaginary,block_17_imag,108,109,109
18,function,play_tmstmp38,110,112,
19,imaginary,block_19_imag,113,113,
20,function,bug_tmstmp4,114,122,114
21,imaginary,block_21_imag,123,128,
22,function,balanceOf,129,131,
23,function,bug_tmstmp33,132,134,132
24,imaginary,block_24_imag,135,140,
25,function,transfer,141,146,
26,imaginary,block_26_imag,147,147,147
27,function,play_tmstmp27,148,151,
28,imaginary,block_28_imag,152,158,
29,function,transferFrom,159,165,
30,imaginary,block_30_imag,166,166,166
31,function,play_tmstmp31,167,170,
32,imaginary,block_32_imag,171,176,
33,function,approve,177,181,
34,function,bug_tmstmp13,182,184,182
35,imaginary,block_35_imag,185,190,
36,function,allowance,191,193,
37,imaginary,block_37_imag,194,210,"194,199,201,210"
38,function,play_tmstmp7,211,214,
39,imaginary,block_39_imag,215,216,216
40,function,play_tmstmp23,217,220,
41,imaginary,block_41_imag,221,222,222
42,function,play_tmstmp14,223,225,
43,imaginary,block_43_imag,226,227,227
44,function,play_tmstmp30,228,230,
45,imaginary,block_45_imag,231,243,239
46,function,function_at_244,244,246,
47,imaginary,block_47_imag,247,249,247
