block_id,block_type,name,start_line,end_line,vulnerable_lines_in_block
1,imaginary,block_1_imag,1,9,9
2,function,play_tmstmp27,10,13,
3,imaginary,block_3_imag,14,15,15
4,function,play_tmstmp31,16,19,
5,imaginary,block_5_imag,20,20,
6,function,bug_tmstmp13,21,23,21
7,imaginary,block_7_imag,24,51,"25,27,29,32,34"
8,function,bug_tmstmp37,52,54,52
9,imaginary,block_9_imag,55,56,56
10,function,play_tmstmp3,57,60,
11,imaginary,block_11_imag,61,61,
12,function,bug_tmstmp9,62,64,62
13,imaginary,block_13_imag,65,66,
14,function,bug_tmstmp25,67,69,67
15,imaginary,block_15_imag,70,72,72
16,function,play_tmstmp19,73,76,
17,imaginary,block_17_imag,77,79,79
18,function,play_tmstmp26,80,82,
19,imaginary,block_19_imag,83,83,
20,function,bug_tmstmp20,84,92,84
21,imaginary,block_21_imag,93,93,
22,function,bug_tmstmp32,94,102,94
23,imaginary,block_23_imag,103,105,105
24,function,play_tmstmp38,106,108,
25,imaginary,block_25_imag,109,109,
26,function,bug_tmstmp4,110,118,110
27,imaginary,block_27_imag,119,154,154
28,function,play_tmstmp7,155,158,
29,imaginary,block_29_imag,159,159,
30,function,setOracle,160,164,
31,imaginary,block_31_imag,165,165,165
32,function,play_tmstmp23,166,169,
33,imaginary,block_33_imag,170,170,
34,function,setInitialPrice,171,176,
35,imaginary,block_35_imag,177,177,177
36,function,play_tmstmp14,178,180,
37,imaginary,block_37_imag,181,181,
38,function,closeGame,182,186,
39,imaginary,block_39_imag,187,187,187
40,function,play_tmstmp30,188,190,
41,imaginary,block_41_imag,191,191,
42,function,betUp,192,199,
43,function,bug_tmstmp8,200,208,200
44,imaginary,block_44_imag,209,209,
45,function,betDown,210,217,
46,imaginary,block_46_imag,218,218,218
47,function,play_tmstmp39,219,222,
48,imaginary,block_48_imag,223,224,
49,function,setFinalPrice,225,247,
50,function,bug_tmstmp36,248,256,248
51,imaginary,block_51_imag,257,257,
52,function,collectOwnerWinnings,258,260,
53,imaginary,block_53_imag,261,261,261
54,function,play_tmstmp35,262,265,
55,imaginary,block_55_imag,266,266,
56,function,collectPlayerWinnings,267,272,
57,function,bug_tmstmp40,273,281,273
58,imaginary,block_58_imag,282,282,
59,function,getBalance,283,285,
60,function,bug_tmstmp33,286,288,286
61,imaginary,block_61_imag,289,290,
